"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",7718,1275,0,0,0,0
"2004",6768,1721,0,0,0,0
"2005",8152,1415,0,0,0,0
"2006",6240,1261,0,0,0,0
"2007",5506,1298,0,0,0,0
"2008",4718,1308,0,0,0,0
"2009",4196,1230,0,0,0,0
"2010",3862,1275,0,0,0,0
"2011",4698,1237,158,0,0,0
"2012",4678,1243,169,0,0,0
"2013",3090,892,102,0,0,0
"2014",4601,1265,147,0,0,0
"2015",4537,1234,220,0,0,0
"2016",4604,1000,172,0,0,0
"2017",4742,1012,0,0,0,0
"2018",4996,733,71,0,0,0
"2019",2401,340,1,131,132,0
"2021",4690,682,0,200,200,0
"2022",4202,609,45,169,166,0
"2023",4608,648,0,139,139,0
"2024",4657,644,0,137,137,0
