"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003018",3,3,0,0,0,0
"200303003071",8,5,0,0,0,0
"200303003073",5,5,0,0,0,0
"200303003083",12,5,0,0,0,0
"200303003086",2,2,0,0,0,0
"200303003089",25,5,0,0,0,0
"200303010150",12,3,0,0,0,0
"200403008110",60,10,0,0,0,0
"200403008129",13,10,0,0,0,0
"200403010006",19,10,0,0,0,0
"200403010106",26,10,0,0,0,0
"200403010134",8,8,0,0,0,0
"200403015025",2,2,0,0,0,0
"200403015064",4,4,0,0,0,0
"200403015065",49,10,0,0,0,0
"200403015093",8,7,0,0,0,0
"200403015159",3,3,0,0,0,0
"200403015160",4,4,0,0,0,0
"200503008010",5,5,0,0,0,0
"200503008203",9,5,0,0,0,0
"200503017136",18,5,0,0,0,0
"200603008024",1,1,0,0,0,0
"200603008119",30,4,0,0,0,0
"200603010090",7,4,0,0,0,0
"200603010095",20,4,0,0,0,0
"200603017175",14,4,0,0,0,0
"200603017179",50,4,0,0,0,0
"200603018060",3,3,0,0,0,0
"200603018074",1,1,0,0,0,0
"200603018132",22,4,0,0,0,0
"200703008064",18,4,0,0,0,0
"200703008183",16,4,0,0,0,0
"200703010112",5,4,0,0,0,0
"200703010113",2,2,0,0,0,0
"200703017037",19,4,0,0,0,0
"200803008003",22,4,0,0,0,0
"200803008005",16,4,0,0,0,0
"200803008167",24,4,0,0,0,0
"200803008176",2,2,0,0,0,0
"200803010148",10,4,0,0,0,0
"200803017151",1,1,0,0,0,0
"200803017156",12,4,0,0,0,0
"200803017157",29,4,0,0,0,0
"200803017160",7,4,0,0,0,0
"200803018001",20,4,0,0,0,0
"200803018013",25,4,0,0,0,0
"200903008132",12,4,0,0,0,0
"200903010119",5,5,0,0,0,0
"200903017100",7,4,0,0,0,0
"200903017124",4,4,0,0,0,0
"200903017171",12,4,0,0,0,0
"200903018134",11,4,0,0,0,0
"200903018155",24,4,0,0,0,0
"201003010008",21,5,0,0,0,0
"201003010132",9,5,0,0,0,0
"201003017013",3,3,0,0,0,0
"201003017120",15,4,0,0,0,0
"201003018086",8,4,0,0,0,0
"201003018105",17,4,0,0,0,0
"201003018139",13,4,0,0,0,0
"201103008003",2,2,0,0,0,0
"201103010175",20,4,0,0,0,0
"201103018020",8,4,0,0,0,0
"201203017212",2,2,0,0,0,0
"201203017291",13,4,0,0,0,0
"201303017132",12,4,0,0,0,0
"201303020180",2,2,1,0,0,0
"201403017144",20,4,0,0,0,0
"201503017087",3,3,1,0,0,0
"201503020191",25,4,2,0,0,0
"201503020192",15,4,2,0,0,0
"201603020001",2,2,2,0,0,0
"201903020066",24,2,0,0,0,0
"202103010045",23,2,0,1,1,0
"202103020021",19,2,0,2,2,0
"202103020078",15,2,0,2,2,0
"202303010001",10,2,0,0,0,0
