"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003112",1,0,0,0,0,0
"200503018145",2,0,0,0,0,0
"200503018156",1,0,0,0,0,0
"200803018095",1,0,0,0,0,0
"201003017122",1,0,0,0,0,0
"201503010018",1,0,0,0,0,0
"201603008124",1,0,0,0,0,0
"201603008154",1,0,0,0,0,0
"201603010104",1,0,0,0,0,0
"201603017145",1,0,0,0,0,0
"201803008150",2,0,0,0,0,0
"202103010107",1,0,0,0,0,0
"202203008123",1,0,0,0,0,0
"202203017128",2,0,0,0,0,0
