"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,1,0,0,0,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",72,2,2,0,0,0,0,0,0,0
"2006",50,3,2,0,1,0,0,0,0,0
"2007",71,2,2,0,0,0,0,0,0,0
"2008",61,4,4,0,0,0,0,0,0,0
"2009",50,2,2,0,0,0,0,0,0,0
"2010",57,0,0,0,0,0,0,0,0,0
"2011",36,2,1,0,1,0,0,0,0,0
"2012",56,1,1,0,0,0,0,0,0,0
"2013",26,0,0,0,0,0,0,0,0,0
"2014",32,0,0,0,0,0,0,0,0,0
"2015",31,2,2,0,0,0,0,0,0,0
"2016",26,5,5,0,0,0,0,0,0,0
"2017",30,0,0,0,0,0,0,0,0,0
"2018",26,2,2,0,0,0,0,0,0,0
"2019",17,3,3,0,0,0,0,0,0,0
"2021",26,5,4,0,0,1,0,0,0,0
"2022",24,1,1,0,0,0,0,0,0,0
"2023",24,0,0,0,0,0,0,0,0,0
"2024",23,0,0,0,0,0,0,0,0,0
