"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",542,0,0,0,0,0,0,0,0,0
"2004",470,0,0,0,0,0,0,0,0,0
"2005",641,0,0,0,0,0,0,0,0,0
"2006",637,2,1,0,1,0,0,0,0,0
"2007",684,3,1,1,0,0,0,0,0,1
"2008",679,1,1,0,0,0,0,0,0,0
"2009",675,6,4,2,0,0,0,0,0,0
"2010",710,3,3,0,0,0,0,0,0,0
"2011",695,0,0,0,0,0,0,0,0,0
"2012",694,1,1,0,0,0,0,0,0,0
"2013",463,5,2,1,1,0,0,0,0,1
"2014",677,1,0,0,1,0,0,0,0,0
"2015",666,0,0,0,0,0,0,0,0,0
"2016",691,1,0,0,1,0,0,0,0,0
"2017",704,1,0,1,0,0,0,0,0,0
"2018",700,1,1,0,0,0,0,0,0,0
"2019",346,2,2,0,0,0,0,0,0,0
"2021",684,0,0,0,0,0,0,0,0,0
"2022",633,1,1,0,0,0,0,0,0,0
"2023",657,4,3,0,1,0,0,0,0,0
"2024",657,1,1,0,0,0,0,0,0,0
