"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",309,265,103,49,35,35,14,11,6,14
"2004",246,259,121,56,31,26,7,10,6,6
"2005",327,348,163,66,65,25,12,5,5,9
"2006",320,333,167,66,51,27,8,6,7,6
"2007",343,354,171,62,59,27,10,8,11,11
"2008",333,352,163,73,53,26,16,4,6,15
"2009",375,309,162,46,47,19,11,13,7,10
"2010",365,351,164,69,53,34,12,8,4,9
"2011",373,326,140,62,47,35,16,12,9,12
"2012",345,356,136,81,56,29,19,10,8,20
"2013",223,248,105,46,39,30,13,6,6,8
"2014",351,334,130,61,58,32,23,11,8,17
"2015",354,318,128,61,58,33,15,7,7,13
"2016",345,347,164,59,62,36,10,9,7,5
"2017",369,339,139,62,65,34,18,6,6,11
"2018",361,343,149,60,47,31,22,11,17,11
"2019",169,180,81,36,25,16,10,8,5,3
"2021",347,337,152,64,53,28,13,11,14,8
"2022",326,309,116,76,48,26,21,3,10,10
"2023",329,333,149,68,52,30,12,9,12,8
"2024",353,306,154,52,50,21,10,8,4,11
