"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",4897,0,0,0,0,0
"2004",0,0,0,0,0,0
"2005",3739,0,0,0,0,0
"2006",3291,0,0,0,0,0
"2007",3539,0,0,0,0,0
"2008",2639,0,0,0,0,0
"2009",2155,0,0,0,0,0
"2010",1874,0,0,0,0,0
"2011",3012,0,0,0,0,0
"2012",3558,0,0,0,0,0
"2013",2541,0,0,0,0,0
"2014",3636,0,0,0,0,0
"2015",3201,0,0,0,0,0
"2016",3161,0,0,0,0,0
"2017",3059,0,0,0,0,0
"2018",2555,0,0,0,0,0
"2019",1338,0,0,0,0,0
"2021",2495,0,0,0,0,0
"2022",2342,0,0,0,0,0
"2023",2267,1,0,0,0,0
"2024",1875,0,0,0,0,0
