"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303010119",1,0,0,0,0,0
"200403008182",1,1,0,0,0,0
"200403010125",1,1,0,0,0,0
"200403015121",1,1,0,0,0,0
"200503008130",1,1,0,0,0,0
"200503017172",2,2,0,0,0,0
"200503018171",1,1,0,0,0,0
"200603017180",1,1,0,0,0,0
"200703008181",1,1,0,0,0,1
"200703010157",3,3,0,0,0,3
"200703017164",2,2,0,0,0,0
"200803017104",1,1,0,0,0,1
"200803017117",1,1,0,0,0,1
"200903008123",1,1,0,0,0,0
"200903008148",2,2,0,0,0,2
"200903010129",2,2,0,0,0,2
"200903017120",11,11,0,0,0,11
"200903017148",1,1,0,0,0,1
"200903017167",1,1,0,0,0,1
"201003017147",1,1,0,0,0,1
"201003018159",1,1,0,0,0,1
"201103017148",1,1,0,0,0,0
"201203008157",1,1,0,0,0,1
"201203008158",2,2,0,0,0,2
"201303017185",2,0,0,0,0,0
"201603008177",1,1,0,0,0,0
"201603010106",1,1,0,0,0,0
"201703008124",2,2,0,0,0,2
"201703008166",1,1,0,0,0,1
"201703010124",1,1,0,0,0,0
"201703010156",2,2,0,0,0,0
"201703020178",3,0,0,0,0,0
"201803008166",2,2,0,0,0,2
"201803008174",3,3,0,0,0,3
"201803010113",3,3,0,0,0,0
"201803020159",2,2,0,0,0,0
"201903008171",1,1,0,0,1,0
"201903008172",2,2,0,0,1,0
"201903008173",1,1,0,0,1,0
"201903020180",12,12,0,0,4,4
"202203008167",1,1,0,0,0,0
"202203008176",2,2,0,0,0,0
"202203017167",2,2,0,0,0,2
"202303020157",2,2,0,0,0,0
"202403017158",2,2,0,0,0,2
"202403017167",3,3,0,0,0,0
"202403017172",1,1,0,0,0,0
"202403020142",6,5,0,0,0,0
