"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,0,1,0,0,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",50,3,1,0,0,0,0,1,0,1
"2007",69,4,2,0,0,1,1,0,0,0
"2008",63,2,1,0,0,0,0,0,0,1
"2009",46,6,2,1,0,0,2,0,0,1
"2010",54,3,2,0,0,0,0,1,0,0
"2011",36,2,2,0,0,0,0,0,0,0
"2012",52,5,2,0,3,0,0,0,0,0
"2013",24,2,1,1,0,0,0,0,0,0
"2014",30,2,1,0,0,0,1,0,0,0
"2015",32,1,1,0,0,0,0,0,0,0
"2016",30,1,0,0,0,0,0,0,0,1
"2017",28,2,1,0,0,0,0,0,0,1
"2018",26,2,1,0,0,1,0,0,0,0
"2019",19,1,1,0,0,0,0,0,0,0
"2021",30,1,0,0,0,0,0,0,1,0
"2022",21,4,2,0,1,0,0,0,0,1
"2023",22,2,2,0,0,0,0,0,0,0
"2024",19,4,2,0,0,0,1,0,0,1
