"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200403008180",100,25,0,0,0,0
"200403008182",205,24,0,0,0,0
"200503018156",51,0,0,0,0,0
"200603017154",160,15,0,0,0,3
"200603017157",151,15,0,0,0,1
"200603017160",125,10,0,0,0,0
"200703017163",13,13,0,0,0,0
"200703017164",71,13,0,0,0,0
"200703017167",96,14,0,0,0,0
"200703018167",1,1,0,0,0,1
"200703018168",149,15,0,0,0,0
"200703018169",120,15,0,0,0,2
"200703018171",3,3,0,0,0,0
"200803010164",70,15,0,0,0,3
"200803010169",52,15,0,0,0,0
"200803010172",25,15,0,0,0,3
"200803018163",85,15,0,0,0,0
"200803018164",77,4,0,0,0,4
"200903008123",1,1,0,0,0,0
"200903017128",61,15,0,0,0,0
"200903017149",7,7,0,0,0,6
"200903017152",56,15,0,0,0,0
"200903017153",50,15,0,0,0,0
"201003017147",8,8,0,0,0,8
"201003017155",50,15,0,0,0,10
"201003017157",72,15,0,0,0,6
"201003018166",1,1,0,0,0,1
"201003018167",51,15,0,0,0,10
"201103010174",72,14,0,0,0,14
"201103010182",2,2,0,0,0,2
"201103017161",44,15,0,0,0,5
"201103017179",34,15,0,0,0,0
"201103017186",50,15,0,0,0,0
"201103017187",33,15,0,0,0,0
"201203008061",13,11,0,0,0,11
"201203008175",4,4,0,0,0,4
"201203010178",1,1,0,0,0,0
"201503020169",2,2,0,0,0,2
"201503020174",28,15,0,0,0,0
"201503020175",66,15,0,0,0,0
"201603008162",5,5,0,0,0,0
"201603010143",64,15,0,0,0,0
"201603017127",9,9,0,0,0,3
"201603017158",62,15,0,0,0,5
"201603017159",74,15,0,0,0,6
"201703008166",33,15,0,0,0,3
"201803008161",50,15,0,0,0,5
"201803008162",60,15,0,0,0,0
"201803008166",46,14,0,0,0,0
"201803008173",8,8,0,0,0,3
"201803008174",9,9,0,0,0,4
"201803008185",2,2,0,0,0,0
"201803008192",1,1,0,0,0,0
"201803010148",1,1,0,0,0,0
"201803020174",50,15,0,0,0,0
"201903008171",9,9,0,0,2,0
"201903008172",53,15,0,0,1,0
"201903008173",51,15,0,0,0,0
"201903008174",69,9,0,0,1,5
"201903020169",84,14,0,0,3,3
"202103020165",4,4,0,0,0,4
"202203008076",1,1,0,0,0,1
"202203017167",7,7,0,0,0,4
"202303008175",4,4,0,0,0,4
"202303020155",20,15,0,0,0,4
"202303020157",53,16,0,0,0,0
"202403008152",15,15,0,0,0,3
"202403008153",1,1,0,0,0,0
"202403008170",7,7,0,0,0,0
"202403017158",47,15,0,0,0,0
"202403017167",50,15,0,0,0,0
"202403017169",1,1,0,0,0,0
"202403017172",37,14,0,0,0,0
"202403020142",51,15,0,0,0,0
"202403020145",65,15,0,0,0,4
"202403020151",51,15,0,0,0,0
