"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,1,0,0,0,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",53,0,0,0,0,0,0,0,0,0
"2007",73,0,0,0,0,0,0,0,0,0
"2008",57,8,4,1,0,2,0,1,1,0
"2009",47,5,5,0,0,0,0,0,0,0
"2010",54,3,2,0,1,0,0,0,0,0
"2011",37,1,1,0,0,0,0,0,0,0
"2012",53,4,4,0,0,0,0,0,0,0
"2013",23,3,2,0,1,0,0,0,0,0
"2014",30,2,2,0,0,0,0,0,0,0
"2015",31,2,2,0,0,0,0,0,0,0
"2016",30,1,1,0,0,0,0,0,0,0
"2017",26,4,2,1,0,0,1,0,0,0
"2018",27,1,1,0,0,0,0,0,0,0
"2019",19,1,1,0,0,0,0,0,0,0
"2021",29,2,1,1,0,0,0,0,0,0
"2022",23,2,2,0,0,0,0,0,0,0
"2023",24,0,0,0,0,0,0,0,0,0
"2024",20,3,3,0,0,0,0,0,0,0
