"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",555,19,13,0,0,4,0,0,0,2
"2004",492,13,9,1,1,0,1,0,0,1
"2005",652,23,17,2,1,1,1,0,0,1
"2006",627,26,22,0,2,1,0,1,1,0
"2007",670,27,23,2,1,1,0,0,0,0
"2008",668,17,17,0,0,0,0,0,0,0
"2009",652,32,25,3,2,2,0,0,0,0
"2010",688,28,20,3,1,3,0,0,0,1
"2011",668,31,22,2,3,1,0,1,1,2
"2012",669,32,29,1,0,0,0,0,0,2
"2013",453,18,10,1,2,1,1,0,1,2
"2014",656,29,22,1,0,3,0,1,1,1
"2015",651,21,19,0,1,0,0,0,0,1
"2016",652,40,24,4,0,0,3,0,3,6
"2017",678,30,23,1,4,0,0,0,0,2
"2018",670,34,21,5,1,2,2,1,0,2
"2019",326,23,16,3,1,2,0,0,1,0
"2021",666,18,14,3,1,0,0,0,0,0
"2022",617,18,15,0,1,1,0,1,1,0
"2023",632,30,27,1,1,0,0,0,0,1
"2024",624,35,23,1,3,5,0,0,1,2
