"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",216,10,0,0,0,0
"2004",182,58,0,0,0,0
"2005",197,83,0,0,10,24
"2006",172,89,0,0,11,20
"2007",92,83,0,0,21,10
"2008",26,26,0,7,11,17
"2009",142,124,0,29,28,54
"2010",240,118,0,21,21,60
"2011",313,152,0,15,14,33
"2012",181,93,0,0,0,10
"2013",364,246,0,0,0,24
"2014",349,264,0,0,0,29
"2015",149,93,0,0,0,18
"2016",888,556,0,0,0,18
"2017",310,214,53,0,0,12
"2018",410,353,0,0,0,9
"2019",219,161,0,5,17,13
"2021",66,66,0,6,6,1
"2022",125,109,17,5,41,9
"2023",159,110,1,7,35,4
"2024",485,347,54,9,9,6
