"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",67,2,1,1,0,0,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",51,2,2,0,0,0,0,0,0,0
"2007",73,0,0,0,0,0,0,0,0,0
"2008",60,5,5,0,0,0,0,0,0,0
"2009",50,2,2,0,0,0,0,0,0,0
"2010",53,4,3,1,0,0,0,0,0,0
"2011",37,1,1,0,0,0,0,0,0,0
"2012",53,4,4,0,0,0,0,0,0,0
"2013",26,0,0,0,0,0,0,0,0,0
"2014",30,2,1,1,0,0,0,0,0,0
"2015",30,3,3,0,0,0,0,0,0,0
"2016",29,2,2,0,0,0,0,0,0,0
"2017",25,5,4,0,1,0,0,0,0,0
"2018",27,1,0,1,0,0,0,0,0,0
"2019",17,3,2,1,0,0,0,0,0,0
"2021",29,2,2,0,0,0,0,0,0,0
"2022",24,1,1,0,0,0,0,0,0,0
"2023",23,1,1,0,0,0,0,0,0,0
"2024",21,2,2,0,0,0,0,0,0,0
