"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",10,10,0,0,0,0
"2004",0,0,0,0,0,0
"2005",0,0,0,0,0,0
"2006",3,3,0,0,2,3
"2007",0,0,0,0,0,0
"2008",3,3,0,0,0,3
"2009",4,4,0,0,0,4
"2010",14,14,0,7,7,5
"2011",0,0,0,0,0,0
"2012",5,5,0,3,3,0
"2013",0,0,0,0,0,0
"2014",8,8,0,4,4,8
"2015",7,7,3,2,2,7
"2016",2,2,0,0,0,1
"2017",24,24,8,7,7,23
"2018",10,10,4,5,5,0
"2019",16,16,8,5,6,15
"2021",2,2,0,1,1,2
"2022",3,3,0,0,0,3
"2023",1,1,0,0,1,0
"2024",5,5,1,0,0,4
