"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003005",5,5,0,0,0,0
"200303003013",3,3,0,0,0,0
"200303003021",5,5,0,0,0,0
"200303003028",9,9,0,0,0,0
"200303003066",8,8,0,0,0,0
"200303006011",1,1,0,0,0,0
"200303006014",2,2,0,0,0,0
"200303006024",2,2,0,0,0,0
"200303006068",1,1,0,0,0,0
"200303006106",4,4,0,0,0,0
"200303008008",2,2,0,0,0,0
"200303008020",4,4,0,0,0,0
"200303008042",3,3,0,0,0,0
"200303008045",6,6,0,0,0,0
"200303008060",1,1,0,0,0,0
"200303008079",3,3,0,0,0,0
"200303008102",4,4,0,0,0,0
"200303010057",1,1,0,0,0,0
"200303010073",4,4,0,0,0,0
"200403008005",2,2,0,0,0,0
"200403008062",2,2,0,0,0,0
"200403008069",3,3,0,0,0,0
"200403010026",5,5,0,0,0,0
"200403010107",4,4,0,0,0,0
"200403015010",1,1,0,0,0,0
"200403015055",1,1,0,0,0,0
"200403015061",3,3,0,0,0,0
"200503008024",1,1,0,0,0,0
"200503008027",2,2,0,0,2,0
"200503008042",3,3,0,0,3,0
"200503008056",1,1,0,0,0,0
"200503010021",1,1,0,0,1,0
"200503010022",1,1,0,0,1,0
"200503010061",2,2,0,0,2,2
"200503017005",1,1,0,0,0,1
"200503017034",1,1,0,0,0,1
"200503017094",5,5,0,0,5,1
"200503017110",1,1,0,0,0,1
"200503017116",20,20,0,0,0,1
"200503018049",1,1,0,0,0,1
"200603008067",1,1,0,0,0,0
"200603008084",3,3,0,0,3,0
"200603010012",1,1,0,0,0,1
"200603010019",1,1,0,0,0,0
"200603010071",6,6,0,0,6,6
"200603017009",1,1,0,0,1,1
"200603017019",4,4,0,0,4,4
"200603017029",4,4,0,0,4,0
"200603017052",4,4,0,0,4,2
"200603017059",11,11,0,0,6,2
"200603017068",4,4,0,0,4,2
"200603018048",2,2,0,0,0,0
"200603018105",1,1,0,0,0,1
"200703008031",1,1,0,0,0,0
"200703008063",1,1,0,0,0,0
"200703008065",1,1,0,0,0,0
"200703008066",4,4,0,0,0,0
"200703010103",1,1,0,0,0,0
"200703017032",1,1,0,0,0,0
"200703017043",2,2,0,0,0,0
"200703017058",1,1,0,0,0,1
"200703017085",7,7,0,0,0,7
"200703017114",4,4,0,0,0,2
"200703017115",2,2,0,0,2,0
"200703018016",1,1,0,0,1,1
"200803008017",1,1,0,0,1,0
"200803008032",1,1,0,0,0,0
"200803008057",2,2,0,0,0,2
"200803008071",1,1,0,0,0,1
"200803010068",1,1,0,0,1,0
"200803010069",1,1,0,0,0,0
"200803017015",10,10,0,0,0,3
"200803017023",7,7,0,0,0,3
"200803017052",4,4,0,0,0,0
"200803017053",1,1,0,0,0,0
"200803017059",1,1,0,0,0,1
"200803017104",6,6,0,2,2,6
"200803017117",2,2,0,2,2,2
"200803018030",2,2,0,0,2,0
"200803018083",3,3,0,0,0,3
"200903008023",4,4,0,3,3,0
"200903008070",7,7,0,0,0,7
"200903008148",1,1,0,0,0,1
"200903010017",13,13,0,6,6,13
"200903010090",2,2,0,0,0,2
"200903010113",4,4,0,0,0,4
"200903010129",3,3,0,1,1,3
"200903017007",1,1,0,1,1,1
"200903017022",2,2,0,0,0,2
"200903017120",1,1,0,1,1,1
"200903018029",1,1,0,0,0,1
"201003008023",1,1,0,0,0,1
"201003008047",1,1,0,0,0,1
"201003008048",1,1,0,0,0,1
"201003008054",3,3,0,0,0,3
"201003010010",3,3,0,1,1,3
"201003010055",9,9,0,0,0,6
"201003010080",2,2,0,0,0,2
"201003010083",4,4,0,0,0,4
"201003010110",1,1,0,0,0,1
"201003017007",2,2,0,2,2,2
"201003017017",3,3,0,0,0,3
"201003018012",1,1,0,0,0,1
"201003018019",19,19,0,7,7,19
"201003018053",1,1,0,1,1,1
"201003018060",1,1,0,0,0,1
"201103008013",2,2,0,2,2,2
"201103008035",2,2,0,0,0,2
"201103010029",5,5,0,0,0,5
"201103010077",9,9,0,0,0,9
"201103010084",18,18,0,4,0,10
"201103017025",1,1,0,0,0,0
"201103017104",1,1,0,0,0,0
"201103017113",2,2,0,0,0,2
"201103017120",1,1,0,0,0,1
"201103018023",2,2,0,1,1,2
"201103018058",2,2,0,0,0,0
"201103018073",1,1,0,0,0,0
"201103018077",1,1,0,0,0,0
"201203010034",1,1,0,0,0,1
"201203010041",2,2,0,2,2,0
"201203010071",1,1,0,0,0,0
"201203017026",3,3,0,1,1,0
"201203017038",8,8,0,7,7,0
"201203017065",1,1,0,1,1,1
"201203017081",1,1,0,0,0,0
"201203017122",1,1,0,0,0,0
"201203017208",1,1,0,0,0,1
"201203017217",1,1,0,0,0,0
"201203017221",11,11,0,0,0,5
"201203017230",6,6,0,0,0,6
"201203017232",2,2,0,0,0,0
"201203017304",5,5,0,2,2,4
"201303008014",1,1,0,0,0,1
"201303008018",1,1,0,0,0,1
"201303008029",1,1,0,1,1,1
"201303008047",4,4,0,1,1,4
"201303008064",2,2,0,1,1,2
"201303017061",1,0,0,0,0,0
"201303017067",6,6,0,0,0,6
"201303017092",1,1,0,1,1,1
"201303017116",1,1,0,0,0,1
"201303020014",12,12,0,2,2,1
"201303020015",3,3,0,3,3,0
"201303020032",1,1,0,0,0,0
"201303020140",1,1,0,0,0,1
"201303020149",3,3,0,0,0,3
"201403008007",2,2,0,1,1,2
"201403008011",20,20,0,13,13,5
"201403008023",2,2,0,1,1,2
"201403008032",1,1,0,0,0,1
"201403008063",1,1,0,0,0,1
"201403008065",4,4,0,1,1,2
"201403008074",1,1,0,0,0,1
"201403010023",3,3,2,2,2,3
"201403010033",1,1,0,0,0,1
"201403010062",3,3,0,2,2,3
"201403017017",3,3,0,1,1,3
"201403017022",1,1,0,0,0,1
"201403017025",18,18,0,11,11,5
"201403017026",1,1,0,0,0,0
"201403017027",1,1,0,0,0,1
"201403017037",2,2,0,1,1,2
"201403017072",2,2,0,0,0,2
"201403020056",14,14,0,0,0,0
"201403020075",12,12,0,0,0,7
"201503008022",1,1,1,0,0,1
"201503008038",1,1,1,1,1,0
"201503008039",2,2,2,0,0,2
"201503008112",1,1,0,0,0,0
"201503008123",2,2,0,0,0,2
"201503010018",3,3,0,0,0,0
"201503010047",17,17,0,8,8,0
"201503010058",1,1,0,0,0,0
"201503017038",2,2,2,1,1,2
"201503017042",8,8,3,3,3,8
"201503017054",3,3,1,1,1,3
"201503017061",8,8,5,0,0,8
"201503020015",2,2,2,1,1,2
