"species","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2021","2022","2023","2024"
"arrowtooth flounder",1391,714,867,735,895,879,963,1134,1043,1026,685,923,967,974,866,761,376,629,685,842,759
"aurora rockfish",574,354,577,609,586,706,587,805,784,878,515,665,808,944,843,906,332,780,736,719,523
"bank rockfish",4,60,50,64,55,31,74,71,52,30,32,111,60,155,39,187,222,24,24,64,105
"big skate",0,0,0,0,0,0,232,336,0,0,0,0,0,140,187,171,82,139,167,164,116
"black rockfish",0,1,0,0,0,0,2,1,0,0,0,0,1,1,3,0,1,6,0,0,0
"blackgill rockfish",104,175,191,212,194,243,430,461,311,419,348,638,580,361,442,693,226,423,561,392,454
"bronzespotted rockfish",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"brown rockfish",0,43,25,13,1,4,9,14,15,29,30,37,50,7,35,62,32,26,55,78,40
"butter sole",0,0,0,0,0,0,0,84,36,37,69,84,0,0,80,130,0,0,86,130,0
"cabezon",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1
"calico rockfish",0,84,119,51,64,29,36,35,9,34,8,16,46,6,75,26,24,49,51,10,26
"California scorpionfish",0,0,147,67,93,55,130,42,117,66,67,78,58,97,140,128,88,211,201,165,131
"California skate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"canary rockfish",278,316,277,247,497,459,242,397,365,597,377,910,738,605,528,475,360,469,491,401,292
"copper rockfish",0,76,43,10,13,44,27,18,12,103,51,33,39,77,102,53,32,92,61,84,63
"curlfin sole",0,0,0,0,0,265,313,0,0,0,0,0,359,344,0,0,104,245,2,0,243
"darkblotched rockfish",772,595,804,944,987,762,1159,912,798,793,690,767,1068,714,674,585,329,622,851,814,742
"deepsea sole",0,0,0,0,0,17,0,568,0,0,0,0,0,0,265,493,0,2,376,473,0
"Dover sole",3024,2590,2572,2010,2151,1077,1058,1173,1085,1096,821,1130,1102,1126,1158,1168,566,1122,1067,1102,1133
"English sole",1908,1019,1337,1005,954,845,898,1050,1070,1087,752,1138,1091,622,623,562,282,579,529,552,525
"flag rockfish",0,30,17,25,49,8,30,16,6,35,11,19,17,12,29,34,19,1,7,30,9
"flathead sole",0,0,0,0,0,0,0,0,203,136,160,519,659,517,261,229,85,199,165,320,233
"freckled rockfish",0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"giant grenadier",0,0,0,0,0,0,0,0,0,0,0,0,424,475,0,0,250,405,0,0,365
"gopher rockfish",0,0,1,2,0,0,1,4,1,3,2,0,0,0,1,1,0,0,0,0,0
"greenblotched rockfish",0,59,30,40,27,51,47,127,72,36,12,44,43,41,21,94,24,32,41,48,25
"greenspotted rockfish",0,283,153,267,307,244,381,395,225,235,218,221,209,464,213,323,164,322,350,287,372
"greenstriped rockfish",625,541,722,687,662,569,614,747,646,757,494,682,693,784,646,791,382,629,622,593,676
"halfbanded rockfish",0,439,418,215,234,208,227,266,207,296,303,324,414,408,321,464,220,530,472,367,404
"harlequin rockfish",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"honeycomb rockfish",0,16,33,14,35,1,15,22,0,6,36,1,0,4,4,14,14,7,4,1,3
"kelp greenling",0,0,45,23,39,19,27,46,103,27,26,39,37,72,45,68,6,32,34,40,34
"kelp rockfish",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
"longnose skate",0,0,0,0,0,0,0,0,429,370,0,0,0,420,443,422,220,403,1,0,374
"longspine thornyhead",985,787,1149,946,962,995,956,1036,1006,980,625,929,935,529,478,495,221,447,385,424,429
"Mexican rockfish",0,0,0,0,0,0,0,8,0,1,0,0,0,0,32,24,1,23,10,7,6
"olive rockfish",0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1
"Pacific cod",0,0,0,0,0,0,0,221,150,89,33,185,270,148,95,45,33,24,77,117,72
"Pacific flatnose",0,0,0,0,270,0,0,304,0,0,0,0,303,234,64,0,111,155,0,0,141
"Pacific grenadier",1186,360,548,599,641,578,556,609,564,589,431,556,0,0,245,222,2,0,161,215,0
"Pacific hake",1714,0,0,0,1233,1155,687,606,575,528,358,601,721,720,718,663,341,599,622,616,527
"Pacific ocean perch",434,219,264,255,439,328,333,579,677,699,553,626,845,770,778,537,291,819,1005,662,659
"Pacific sanddab",896,1625,1127,748,773,783,822,1156,856,938,622,933,926,463,466,440,215,460,433,445,436
"Pacific spiny dogfish",680,592,936,799,761,892,632,1031,652,573,287,470,350,291,227,331,187,312,3,0,258
"petrale sole",1656,2004,1935,994,997,1037,1065,1399,1367,1302,845,1238,1157,916,892,817,624,1243,775,787,775
"pink rockfish",0,0,0,22,21,0,4,2,0,3,0,1,4,0,5,4,0,2,0,19,4
"pinkrose rockfish",0,0,0,12,17,0,31,0,0,0,0,0,0,0,0,6,0,0,5,3,0
"Puget Sound rockfish",0,0,6,0,2,1,0,0,24,0,0,0,0,16,0,16,0,0,0,0,0
"pygmy rockfish",0,46,53,81,77,49,120,32,75,18,0,52,36,147,35,62,18,37,28,16,18
"quillback rockfish",0,0,2,3,16,22,3,2,6,26,1,25,8,9,16,21,16,12,13,5,23
"redbanded rockfish",179,144,171,145,178,146,142,167,203,149,189,203,189,114,268,236,109,226,179,301,209
"redstripe rockfish",246,179,113,131,102,131,265,61,295,113,210,314,147,324,201,190,123,207,136,142,107
"rex sole",0,0,0,0,805,766,784,885,844,852,600,852,818,841,831,852,415,825,407,419,394
