"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",310,0,0,0,0,0
"2004",495,0,0,0,0,0
"2005",457,0,0,0,0,0
"2006",0,0,0,0,0,0
"2007",62,0,0,0,0,0
"2008",298,0,0,0,0,0
"2009",256,0,0,0,0,0
"2010",440,0,0,0,0,0
"2011",580,0,0,0,0,0
"2012",615,0,0,0,0,0
"2013",413,0,0,0,0,0
"2014",427,0,0,0,0,0
"2015",612,0,0,0,0,0
"2016",458,0,1,0,0,0
"2017",509,0,0,0,0,0
"2018",534,0,0,0,0,0
"2019",176,0,0,0,0,0
"2021",484,0,0,0,0,0
"2022",531,0,0,0,0,0
"2023",433,0,0,0,0,0
"2024",382,0,0,0,0,0
