"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",542,0,0,0,0,0,0,0,0,0
"2004",469,1,1,0,0,0,0,0,0,0
"2005",641,0,0,0,0,0,0,0,0,0
"2006",639,0,0,0,0,0,0,0,0,0
"2007",687,0,0,0,0,0,0,0,0,0
"2008",680,0,0,0,0,0,0,0,0,0
"2009",681,0,0,0,0,0,0,0,0,0
"2010",711,2,1,1,0,0,0,0,0,0
"2011",695,0,0,0,0,0,0,0,0,0
"2012",694,1,1,0,0,0,0,0,0,0
"2013",467,1,1,0,0,0,0,0,0,0
"2014",678,0,0,0,0,0,0,0,0,0
"2015",666,0,0,0,0,0,0,0,0,0
"2016",691,1,1,0,0,0,0,0,0,0
"2017",699,6,3,2,0,1,0,0,0,0
"2018",694,7,6,0,0,0,0,0,1,0
"2019",347,1,1,0,0,0,0,0,0,0
"2021",677,7,6,0,1,0,0,0,0,0
"2022",628,6,6,0,0,0,0,0,0,0
"2023",657,4,4,0,0,0,0,0,0,0
"2024",656,2,2,0,0,0,0,0,0,0
