"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",5947,1714,0,0,0,0
"2004",3894,0,0,0,0,0
"2005",10132,0,0,1796,0,0
"2006",7418,0,0,0,0,0
"2007",6070,1233,0,1215,0,0
"2008",5240,1155,0,451,0,0
"2009",3370,687,277,159,0,0
"2010",1998,606,0,199,0,0
"2011",3607,575,0,203,0,0
"2012",2938,528,77,0,0,0
"2013",1873,358,69,0,0,0
"2014",4113,601,277,0,0,0
"2015",5144,721,290,0,0,274
"2016",4641,720,276,1,1,270
"2017",4381,718,111,0,0,19
"2018",2971,663,144,1,15,207
"2019",1425,341,59,0,0,95
"2021",2480,599,0,0,0,2
"2022",2587,622,0,0,0,1
"2023",2259,616,75,0,0,0
"2024",1848,527,35,0,0,12
