"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",0,0,0,0,0,0
"2004",0,0,0,0,0,0
"2005",6,6,0,0,0,0
"2006",0,0,0,0,0,0
"2007",2,2,0,0,0,0
"2008",1,1,0,0,0,1
"2009",0,0,0,0,0,0
"2010",0,0,0,0,0,0
"2011",45,24,0,0,0,14
"2012",0,0,0,0,0,0
"2013",0,0,0,0,0,0
"2014",0,0,0,0,0,0
"2015",0,0,0,0,0,0
"2016",21,16,0,0,0,0
"2017",0,0,0,0,0,0
"2018",24,16,0,0,0,0
"2019",0,0,0,0,0,0
"2021",0,0,0,0,0,0
"2022",0,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
