"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",146,104,0,0,0,0
"2004",449,175,0,0,0,0
"2005",398,191,0,0,0,56
"2006",764,212,0,0,0,61
"2007",298,194,0,0,0,96
"2008",339,243,0,1,0,65
"2009",553,430,0,1,1,89
"2010",522,461,0,0,0,112
"2011",365,311,88,0,0,148
"2012",508,419,38,0,0,92
"2013",419,348,1,0,0,50
"2014",854,638,0,0,0,104
"2015",719,580,0,26,25,76
"2016",379,361,0,27,27,44
"2017",596,442,2,42,42,67
"2018",970,693,0,57,57,64
"2019",240,226,0,41,58,34
"2021",606,423,1,27,26,53
"2022",771,561,0,51,51,64
"2023",392,392,0,14,14,40
"2024",554,454,0,6,6,53
