"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003050",1,1,0,0,0,0
"200303003060",11,11,0,0,0,0
"200303003101",1,1,0,0,0,0
"200303003113",2,2,0,0,0,0
"200303003114",2,2,0,0,0,0
"200303003121",2,2,0,0,0,0
"200303003122",1,1,0,0,0,0
"200303003145",1,1,0,0,0,0
"200303003215",17,15,0,0,0,0
"200303006109",1,1,0,0,0,0
"200303006117",1,1,0,0,0,0
"200303006130",1,1,0,0,0,0
"200303006133",7,7,0,0,0,0
"200303008107",54,14,0,0,0,0
"200303008112",1,1,0,0,0,0
"200303008114",1,1,0,0,0,0
"200303008140",9,9,0,0,0,0
"200303008159",3,3,0,0,0,0
"200303010128",1,1,0,0,0,0
"200303010136",2,2,0,0,0,0
"200303010139",12,12,0,0,0,0
"200303010157",15,15,0,0,0,0
"200403008044",5,4,0,0,0,0
"200403008130",1,1,0,0,0,0
"200403008143",2,2,0,0,0,0
"200403008144",29,15,0,0,0,0
"200403008145",9,9,0,0,0,0
"200403008165",116,15,0,0,0,0
"200403008183",83,25,0,0,0,0
"200403008194",7,7,0,0,0,0
"200403008195",18,18,0,0,0,0
"200403010049",9,9,0,0,0,0
"200403010059",20,15,0,0,0,0
"200403010060",1,1,0,0,0,0
"200403010130",15,15,0,0,0,0
"200403010150",2,2,0,0,0,0
"200403010167",99,14,0,0,0,0
"200403015001",3,3,0,0,0,0
"200403015034",1,1,0,0,0,0
"200403015133",1,1,0,0,0,0
"200403015134",3,3,0,0,0,0
"200403015155",25,15,0,0,0,0
"200503008140",1,1,0,0,0,1
"200503008145",2,2,0,0,0,1
"200503008151",1,1,0,0,0,1
"200503008171",1,1,0,0,0,1
"200503008183",114,15,0,0,0,15
"200503008186",7,7,0,0,0,7
"200503010010",4,4,0,0,0,3
"200503010044",1,1,0,0,0,0
"200503010058",4,4,0,0,0,4
"200503010077",1,1,0,0,0,1
"200503010125",6,6,0,0,0,1
"200503010131",32,15,0,0,0,0
"200503010149",14,14,0,0,0,1
"200503010151",11,11,0,0,0,1
"200503010157",38,15,0,0,0,1
"200503010166",26,16,0,0,0,1
"200503017151",12,12,0,0,0,0
"200503017152",2,2,0,0,0,0
"200503017155",2,2,0,0,0,0
"200503017161",1,1,0,0,0,0
"200503017190",12,12,0,0,0,0
"200503018107",14,14,0,0,0,14
"200503018109",1,1,0,0,0,1
"200503018135",24,16,0,0,0,2
"200503018151",1,1,0,0,0,0
"200503018158",64,14,0,0,0,0
"200503018168",1,1,0,0,0,0
"200503018179",1,1,0,0,0,0
"200603008049",1,1,0,0,0,0
"200603008109",1,1,0,0,0,0
"200603008118",1,1,0,0,0,0
"200603008124",2,2,0,0,0,0
"200603008138",4,4,0,0,0,0
"200603008152",119,16,0,0,0,0
"200603008163",148,15,0,0,0,0
"200603008164",108,16,0,0,0,0
"200603008173",27,17,0,0,0,0
"200603010052",1,1,0,0,0,1
"200603010070",1,1,0,0,0,1
"200603010082",102,15,0,0,0,13
"200603010096",17,12,0,0,0,10
"200603010110",1,1,0,0,0,1
"200603010115",1,1,0,0,0,1
"200603010129",1,1,0,0,0,1
"200603010131",2,2,0,0,0,2
"200603010140",3,3,0,0,0,3
"200603010143",4,4,0,0,0,4
"200603010144",1,1,0,0,0,1
"200603010159",1,1,0,0,0,1
"200603010161",111,15,0,0,0,15
"200603017099",1,1,0,0,0,1
"200603017123",1,1,0,0,0,0
"200603017134",3,3,0,0,0,3
"200603017142",5,5,0,0,0,0
"200603017143",2,2,0,0,0,0
"200603017144",27,15,0,0,0,0
"200603017150",1,1,0,0,0,0
"200603017159",29,15,0,0,0,3
"200603017172",3,3,0,0,0,0
"200603017174",8,8,0,0,0,0
"200603018125",2,2,0,0,0,0
"200603018139",1,1,0,0,0,0
"200603018148",10,10,0,0,0,0
"200603018164",8,8,0,0,0,0
"200603018166",6,6,0,0,0,0
"200703008118",3,3,0,0,0,0
"200703008132",1,1,0,0,0,0
"200703008135",3,3,0,0,0,2
"200703008150",1,1,0,0,0,1
"200703008151",1,1,0,0,0,0
"200703008154",4,4,0,0,0,4
"200703008157",6,6,0,0,0,0
"200703008161",1,1,0,0,0,1
"200703008162",1,1,0,0,0,1
"200703008193",45,27,0,0,0,5
"200703008200",3,3,0,0,0,3
"200703010062",1,1,0,0,0,0
