"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",90,0,0,0,0,0
"2004",19,0,0,0,0,0
"2005",132,0,0,0,0,0
"2006",4,0,0,0,0,0
"2007",123,0,0,0,0,0
"2008",48,0,0,0,0,0
"2009",65,0,0,0,0,0
"2010",84,84,0,0,0,0
"2011",38,36,0,0,0,0
"2012",43,37,0,0,0,0
"2013",69,69,0,0,0,0
"2014",100,84,0,0,0,0
"2015",68,0,0,0,0,0
"2016",50,0,0,0,0,0
"2017",84,80,0,0,0,0
"2018",130,130,0,0,0,0
"2019",69,0,0,0,0,0
"2021",109,0,0,0,0,0
"2022",86,86,0,0,0,0
"2023",145,130,0,0,0,0
"2024",97,0,0,0,0,0
