"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",570,4,4,0,0,0,0,0,0,0
"2004",494,11,7,2,0,2,0,0,0,0
"2005",659,16,8,3,2,0,1,0,1,1
"2006",644,9,5,3,1,0,0,0,0,0
"2007",685,12,9,1,0,1,0,0,1,0
"2008",682,3,1,0,1,0,1,0,0,0
"2009",678,6,4,1,1,0,0,0,0,0
"2010",710,6,4,0,1,1,0,0,0,0
"2011",695,4,4,0,0,0,0,0,0,0
"2012",695,6,4,0,0,1,1,0,0,0
"2013",469,2,0,1,1,0,0,0,0,0
"2014",683,2,1,0,0,1,0,0,0,0
"2015",665,7,4,1,1,0,1,0,0,0
"2016",688,4,4,0,0,0,0,0,0,0
"2017",703,5,1,1,1,1,1,0,0,0
"2018",698,6,4,1,1,0,0,0,0,0
"2019",346,3,2,0,1,0,0,0,0,0
"2021",672,12,10,1,0,1,0,0,0,0
"2022",629,6,3,1,0,2,0,0,0,0
"2023",659,3,3,0,0,0,0,0,0,0
"2024",654,5,4,0,1,0,0,0,0,0
