"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",474,100,49,12,12,3,8,4,7,8
"2004",414,91,49,16,14,4,1,2,2,4
"2005",564,111,54,23,10,7,6,5,4,5
"2006",523,130,67,14,25,10,6,2,1,5
"2007",565,132,63,20,20,14,3,6,5,4
"2008",574,111,63,11,11,9,7,6,4,3
"2009",558,126,52,23,18,12,8,6,7,4
"2010",599,117,54,19,16,8,7,6,9,3
"2011",589,110,59,10,14,8,5,4,9,3
"2012",599,102,48,13,10,8,8,7,4,8
"2013",382,89,54,10,7,4,3,3,2,7
"2014",569,116,62,22,15,5,3,6,3,2
"2015",540,132,58,15,24,12,10,6,6,4
"2016",573,119,56,17,12,4,11,6,3,12
"2017",583,125,70,14,14,6,5,6,4,8
"2018",599,105,56,9,18,8,7,1,0,6
"2019",292,57,29,8,7,5,0,2,3,5
"2021",562,122,70,20,18,6,2,3,4,2
"2022",504,131,52,20,19,10,5,9,12,8
"2023",533,129,57,12,19,12,8,9,8,8
"2024",549,110,40,12,17,12,13,5,4,9
