"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",60,9,1,2,3,3,0,0,0,0
"2004",52,10,6,1,1,0,1,1,0,0
"2005",72,2,1,0,0,0,1,0,0,0
"2006",51,2,0,1,0,1,0,0,0,0
"2007",68,5,2,0,2,1,0,0,0,0
"2008",61,4,3,0,1,0,0,0,0,0
"2009",50,2,0,1,0,1,0,0,0,0
"2010",53,4,2,1,1,0,0,0,0,0
"2011",34,4,2,2,0,0,0,0,0,0
"2012",49,8,4,0,0,3,1,0,0,0
"2013",18,8,2,1,3,1,0,1,0,0
"2014",29,3,0,1,1,1,0,0,0,0
"2015",32,1,0,0,0,1,0,0,0,0
"2016",26,5,2,0,3,0,0,0,0,0
"2017",27,3,1,1,1,0,0,0,0,0
"2018",23,5,4,0,0,1,0,0,0,0
"2019",17,3,1,2,0,0,0,0,0,0
"2021",23,8,5,2,1,0,0,0,0,0
"2022",23,2,1,1,0,0,0,0,0,0
"2023",21,3,2,1,0,0,0,0,0,0
"2024",21,2,0,0,1,0,0,1,0,0
