"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",539,35,21,4,3,3,3,0,1,0
"2004",477,28,8,7,7,2,0,1,2,2
"2005",642,33,21,5,1,1,1,2,1,1
"2006",608,45,27,5,6,3,1,1,1,1
"2007",657,40,18,6,4,6,4,1,1,0
"2008",644,41,25,5,1,4,2,2,2,1
"2009",633,51,29,8,4,4,3,1,0,2
"2010",678,38,20,3,3,7,0,2,3,1
"2011",664,35,22,5,3,2,0,2,2,1
"2012",666,35,22,5,4,1,0,2,2,0
"2013",446,25,13,4,2,3,1,1,1,1
"2014",649,36,25,2,4,3,1,1,1,0
"2015",646,26,14,3,5,1,3,0,0,0
"2016",652,40,17,8,0,3,4,4,6,2
"2017",680,28,18,3,0,2,1,2,4,0
"2018",667,37,21,3,4,3,3,1,1,1
"2019",332,17,10,1,2,1,3,0,0,0
"2021",637,47,27,7,9,1,1,1,1,1
"2022",590,45,27,5,6,3,2,1,1,1
"2023",633,29,16,3,2,4,3,1,1,0
"2024",625,34,17,2,5,4,3,0,1,2
