"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",424,0,0,0,0,0
"2004",567,283,0,0,0,0
"2005",276,153,0,0,0,31
"2006",469,267,0,1,8,31
"2007",653,307,0,0,0,48
"2008",557,244,0,0,1,57
"2009",682,381,0,0,0,123
"2010",711,395,0,0,0,86
"2011",268,225,0,0,0,49
"2012",401,235,0,0,0,45
"2013",246,218,0,0,0,50
"2014",296,221,0,0,0,61
"2015",249,209,0,0,0,30
"2016",899,464,0,0,0,64
"2017",334,213,0,0,0,24
"2018",399,323,0,0,0,56
"2019",208,164,0,0,16,28
"2021",356,322,40,0,1,45
"2022",412,350,43,0,0,58
"2023",380,287,0,0,0,29
"2024",492,372,0,0,0,30
