"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",552,22,10,1,3,1,3,2,1,2
"2004",457,48,14,9,2,5,2,2,2,13
"2005",606,69,16,3,9,7,3,6,6,22
"2006",605,48,8,6,6,2,6,3,5,13
"2007",643,54,12,8,6,6,3,1,3,15
"2008",633,52,16,2,6,5,4,3,7,12
"2009",624,60,26,3,9,4,5,1,3,10
"2010",653,63,18,5,2,6,6,6,5,18
"2011",647,52,19,5,3,2,4,0,0,19
"2012",628,73,24,7,3,5,3,3,6,24
"2013",437,34,8,3,1,3,4,0,0,15
"2014",634,51,20,2,4,2,4,1,5,13
"2015",609,63,24,5,5,3,8,4,5,12
"2016",630,62,26,2,5,5,3,3,4,15
"2017",654,54,24,6,2,3,1,3,2,14
"2018",643,61,18,4,6,3,5,3,4,21
"2019",317,32,11,3,3,1,3,1,3,8
"2021",611,73,23,7,8,5,2,6,10,17
"2022",568,67,22,6,5,9,3,2,3,18
"2023",609,53,17,4,5,1,1,2,2,21
"2024",601,58,18,4,7,7,2,3,9,11
