"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",331,41,0,0,0,0
"2004",753,52,0,0,0,0
"2005",90,10,0,0,0,0
"2006",175,18,0,0,0,0
"2007",155,28,0,0,0,0
"2008",126,37,0,0,0,0
"2009",69,24,0,0,0,0
"2010",84,30,0,0,0,0
"2011",65,12,0,0,0,0
"2012",40,8,0,0,0,0
"2013",45,9,0,0,0,0
"2014",21,4,0,0,0,0
"2015",58,12,0,0,0,0
"2016",19,2,0,0,0,0
"2017",0,0,0,0,0,0
"2018",0,0,0,0,0,0
"2019",21,2,1,0,0,0
"2021",40,4,1,3,3,0
"2022",0,0,0,0,0,0
"2023",16,2,0,0,0,0
"2024",2,2,0,0,0,0
