"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003018",5,5,0,0,0,0
"200303003071",6,6,0,0,0,0
"200303003073",5,5,0,0,0,0
"200303003083",5,5,0,0,0,0
"200303003086",5,5,0,0,0,0
"200303006006",187,5,0,0,0,0
"200303010089",108,5,0,0,0,0
"200303010150",10,5,0,0,0,0
"200403008110",97,5,0,0,0,0
"200403008129",69,5,0,0,0,0
"200403010006",52,5,0,0,0,0
"200403010106",59,5,0,0,0,0
"200403010134",89,5,0,0,0,0
"200403015025",51,3,0,0,0,0
"200403015064",69,5,0,0,0,0
"200403015065",56,4,0,0,0,0
"200403015093",78,5,0,0,0,0
"200403015159",109,5,0,0,0,0
"200403015160",24,5,0,0,0,0
"200503008010",50,5,0,0,0,0
"200503008203",40,5,0,0,0,0
"200603008119",36,4,0,0,0,0
"200603010090",31,2,0,0,0,0
"200603010095",34,4,0,0,0,0
"200603017175",44,4,0,0,0,0
"200603018060",30,4,0,0,0,0
"200703008183",28,4,0,0,0,0
"200703010002",4,4,0,0,0,0
"200703010112",21,4,0,0,0,0
"200703010113",9,4,0,0,0,0
"200703017001",49,4,0,0,0,0
"200703017037",20,4,0,0,0,0
"200703017175",24,4,0,0,0,0
"200803008005",14,4,0,0,0,0
"200803008167",10,4,0,0,0,0
"200803008176",17,4,0,0,0,0
"200803010148",11,4,0,0,0,0
"200803017151",18,4,0,0,0,0
"200803017156",11,4,0,0,0,0
"200803017157",24,4,0,0,0,0
"200803017160",10,4,0,0,0,0
"200803018001",10,4,0,0,0,0
"200803018013",1,1,0,0,0,0
"200903008132",10,4,0,0,0,0
"200903017100",10,4,0,0,0,0
"200903017171",10,4,0,0,0,0
"200903018004",11,4,0,0,0,0
"200903018134",13,4,0,0,0,0
"200903018155",15,4,0,0,0,0
"201003010008",22,6,0,0,0,0
"201003010132",12,4,0,0,0,0
"201003017013",11,4,0,0,0,0
"201003017120",10,4,0,0,0,0
"201003018086",10,4,0,0,0,0
"201003018105",9,4,0,0,0,0
"201003018139",10,4,0,0,0,0
"201103008003",20,4,0,0,0,0
"201103010175",26,4,0,0,0,0
"201103018020",19,4,0,0,0,0
"201203017212",20,4,0,0,0,0
"201203017291",20,4,0,0,0,0
"201303017132",20,4,0,0,0,0
"201303020001",24,4,0,0,0,0
"201303020180",1,1,0,0,0,0
"201403017144",21,4,0,0,0,0
"201503017087",20,4,0,0,0,0
"201503020191",20,4,0,0,0,0
"201503020192",18,4,0,0,0,0
"201603020001",19,2,0,0,0,0
"201903020066",21,2,1,0,0,0
"202103010045",20,2,1,1,1,0
"202103020078",20,2,0,2,2,0
"202303010001",16,2,0,0,0,0
"202403017149",2,2,0,0,0,0
