"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003005",3,3,0,0,0,0
"200303003021",114,15,0,0,0,0
"200303003032",1,1,0,0,0,0
"200303003066",101,25,0,0,0,0
"200303006010",2,2,0,0,0,0
"200303006011",111,14,0,0,0,0
"200303006024",1,1,0,0,0,0
"200303006057",94,14,0,0,0,0
"200303008015",8,8,0,0,0,0
"200303008022",36,23,0,0,0,0
"200303008023",6,6,0,0,0,0
"200303008026",29,25,0,0,0,0
"200303008027",2,2,0,0,0,0
"200303008045",133,26,0,0,0,0
"200303008063",83,16,0,0,0,0
"200303008079",1,1,0,0,0,0
"200303008102",6,6,0,0,0,0
"200303010018",30,15,0,0,0,0
"200303010057",242,15,0,0,0,0
"200303010069",1,1,0,0,0,0
"200303010073",52,15,0,0,0,0
"200303010097",1,1,0,0,0,0
"200303010098",9,9,0,0,0,0
"200303010109",2,2,0,0,0,0
"200403008005",12,12,0,0,0,0
"200403008061",165,25,0,0,0,0
"200403008062",2,2,0,0,0,0
"200403010020",4,4,0,0,0,0
"200403010066",105,25,0,0,0,0
"200403010069",14,14,0,0,0,0
"200403010070",2,2,0,0,0,0
"200403010076",1,1,0,0,0,0
"200403010085",1,1,0,0,0,0
"200403015010",66,26,0,0,0,0
"200403015021",55,25,0,0,0,0
"200403015032",14,14,0,0,0,0
"200403015038",2,2,0,0,0,0
"200403015061",83,25,0,0,0,0
"200403015066",1,1,0,0,0,0
"200503008027",5,5,0,0,0,0
"200503008042",1,1,0,0,0,0
"200503008089",9,9,0,0,0,0
"200503010023",61,25,0,0,0,0
"200503010024",1,1,0,0,0,0
"200503017005",3,3,0,0,0,1
"200503017076",116,25,0,0,0,0
"200503017078",1,1,0,0,0,0
"200503017088",4,4,0,0,0,1
"200503017092",16,16,0,0,0,1
"200503017094",6,6,0,0,0,1
"200503017097",1,1,0,0,0,1
"200503018020",4,4,0,0,0,1
"200503018035",2,2,0,0,0,1
"200503018042",1,1,0,0,0,1
"200503018071",8,8,0,0,0,1
"200503018092",1,1,0,0,0,1
"200603008044",1,1,0,0,0,0
"200603008048",1,1,0,0,0,0
"200603008061",1,1,0,0,0,0
"200603010003",1,0,0,0,0,0
"200603010019",26,26,0,0,0,0
"200603010060",1,1,0,0,0,0
"200603010071",32,15,0,0,0,0
"200603017007",1,1,0,0,0,1
"200603017019",176,25,0,0,0,4
"200603017029",105,27,0,0,1,0
"200603017035",2,2,0,0,0,0
"200603017059",154,25,0,0,1,2
"200603017069",1,1,0,0,0,0
"200603018008",1,1,0,0,0,0
"200603018010",1,1,0,0,0,0
"200603018048",3,3,0,0,0,0
"200703008023",119,24,0,0,0,0
"200703008041",2,2,0,0,0,0
"200703008066",9,9,0,0,0,0
"200703010026",1,1,0,0,0,0
"200703010027",9,9,0,0,0,0
"200703010036",5,5,0,0,0,0
"200703017085",109,26,0,0,0,7
"200703017114",101,25,0,0,0,2
"200703018054",1,1,0,0,0,1
"200803008057",64,24,0,0,0,10
"200803008059",2,2,0,0,0,2
"200803010061",1,1,0,0,0,0
"200803010077",114,25,0,0,0,0
"200803017014",40,25,0,0,0,3
"200803017015",2,2,0,0,0,2
"200803017023",83,25,0,0,0,0
"200803017038",2,2,0,0,0,0
"200803017051",4,4,0,0,0,0
"200803017089",4,4,0,0,0,0
"200803017104",12,12,0,0,0,0
"200803017105",2,2,0,0,0,0
"200803017175",3,3,0,0,0,2
"200903008019",24,24,0,0,0,0
"200903008023",114,50,0,0,0,0
"200903008066",30,30,0,0,0,5
"200903008070",40,40,0,0,0,0
"200903010017",45,45,0,0,0,10
