"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",64,5,1,0,1,2,1,0,0,0
"2004",58,4,0,0,0,1,0,0,0,3
"2005",68,6,0,0,1,2,0,0,1,2
"2006",44,9,6,0,0,0,0,1,1,2
"2007",57,16,2,2,2,3,4,0,3,0
"2008",52,13,5,1,3,0,1,0,0,3
"2009",39,13,4,5,2,0,2,0,0,0
"2010",47,10,3,1,5,0,0,0,0,1
"2011",30,8,4,2,1,1,0,0,0,0
"2012",41,16,8,4,2,0,0,1,1,1
"2013",17,9,3,3,1,0,0,1,1,0
"2014",24,8,5,0,0,2,0,1,0,0
"2015",27,6,2,2,0,1,1,0,0,0
"2016",22,9,4,4,0,0,0,1,1,0
"2017",24,6,3,0,1,0,0,0,2,0
"2018",18,10,4,1,2,1,1,0,1,0
"2019",17,3,2,0,1,0,0,0,0,0
"2021",23,8,2,0,1,3,0,1,1,1
"2022",17,8,4,0,1,0,1,0,0,2
"2023",16,8,6,0,2,0,0,0,0,0
"2024",14,9,4,0,2,1,1,0,0,1
