"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",11049,0,0,0,0,0
"2004",14491,0,0,0,0,0
"2005",16188,0,0,0,0,0
"2006",12226,0,0,883,864,0
"2007",9646,805,0,0,0,0
"2008",7250,766,0,0,0,0
"2009",4165,784,0,0,0,0
"2010",2658,885,0,0,0,1
"2011",7000,844,0,0,0,0
"2012",7448,852,0,0,0,0
"2013",5729,600,0,0,0,0
"2014",8682,852,0,0,0,0
"2015",8517,818,0,0,0,0
"2016",8667,841,0,0,0,0
"2017",5241,831,0,0,0,0
"2018",4843,852,0,0,0,0
"2019",2424,415,0,0,0,0
"2021",4119,825,1,0,0,1
"2022",4003,407,0,0,0,0
"2023",4046,419,0,0,0,0
"2024",4031,394,0,0,0,0
