"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303006001",75,0,0,0,0,0
"200303006003",21,0,0,0,0,0
"200303006004",90,0,0,0,0,0
"200303006005",75,0,0,0,0,0
"200303006007",59,0,0,0,0,0
"200303006008",1,0,0,0,0,0
"200303006009",100,0,0,0,0,0
"200303006010",75,0,0,0,0,0
"200303006012",70,0,0,0,0,0
"200303006013",103,0,0,0,0,0
"200303006014",26,0,0,0,0,0
"200303006016",27,0,0,0,0,0
"200303006023",1,0,0,0,0,0
"200303006024",5,0,0,0,0,0
"200303006025",74,0,0,0,0,0
"200303006026",52,0,0,0,0,0
"200303006031",99,0,0,0,0,0
"200303006032",102,0,0,0,0,0
"200303006037",100,0,0,0,0,0
"200303006039",77,0,0,0,0,0
"200303006040",100,0,0,0,0,0
"200303006044",116,0,0,0,0,0
"200303006045",41,0,0,0,0,0
"200303006049",5,0,0,0,0,0
"200303006050",99,0,0,0,0,0
"200303006051",61,0,0,0,0,0
"200303006052",77,0,0,0,0,0
"200303006053",89,0,0,0,0,0
"200303006056",100,0,0,0,0,0
"200303006058",99,0,0,0,0,0
"200303006059",101,0,0,0,0,0
"200303006062",81,0,0,0,0,0
"200303006063",4,0,0,0,0,0
"200303006064",103,0,0,0,0,0
"200303006066",103,0,0,0,0,0
"200303006067",97,0,0,0,0,0
"200303006068",92,0,0,0,0,0
"200303006071",105,0,0,0,0,0
"200303006072",107,0,0,0,0,0
"200303006073",92,0,0,0,0,0
"200303006074",35,0,0,0,0,0
"200303006075",114,0,0,0,0,0
"200303006076",100,0,0,0,0,0
"200303006079",76,0,0,0,0,0
"200303006080",116,0,0,0,0,0
"200303006081",62,0,0,0,0,0
"200303006082",96,0,0,0,0,0
"200303006083",91,0,0,0,0,0
"200303006084",55,0,0,0,0,0
"200303006085",77,0,0,0,0,0
"200303006089",100,0,0,0,0,0
"200303006090",111,0,0,0,0,0
"200303006092",2,0,0,0,0,0
"200303006093",79,0,0,0,0,0
"200303006094",100,0,0,0,0,0
"200303006095",93,0,0,0,0,0
"200303006096",63,0,0,0,0,0
"200303006101",43,0,0,0,0,0
"200303006103",9,0,0,0,0,0
"200303006104",105,0,0,0,0,0
"200303006105",41,0,0,0,0,0
"200303006106",94,0,0,0,0,0
"200303006107",15,0,0,0,0,0
"200303006108",83,0,0,0,0,0
"200303006109",94,0,0,0,0,0
"200303006110",4,0,0,0,0,0
"200303006111",126,0,0,0,0,0
"200303006113",24,0,0,0,0,0
"200303006114",105,0,0,0,0,0
"200303006115",30,0,0,0,0,0
"200303006116",3,0,0,0,0,0
"200303006117",66,0,0,0,0,0
"200303006118",76,0,0,0,0,0
"200303006119",61,0,0,0,0,0
"200303006121",4,0,0,0,0,0
"200303006122",18,0,0,0,0,0
"200303006124",6,0,0,0,0,0
"200303006126",5,0,0,0,0,0
"200303006128",2,0,0,0,0,0
"200303006129",95,0,0,0,0,0
"200303006130",99,0,0,0,0,0
"200303006132",2,0,0,0,0,0
"200303006133",164,0,0,0,0,0
"200303006134",9,0,0,0,0,0
"200303006135",99,0,0,0,0,0
"200303006138",35,0,0,0,0,0
"200303006145",12,0,0,0,0,0
"200303006149",31,0,0,0,0,0
"200303006164",17,0,0,0,0,0
"200303010001",81,0,0,0,0,0
"200303010003",4,0,0,0,0,0
"200303010005",69,0,0,0,0,0
"200303010011",25,0,0,0,0,0
"200303010013",1,0,0,0,0,0
"200303010016",3,0,0,0,0,0
"200303010018",32,0,0,0,0,0
"200303010020",28,0,0,0,0,0
"200303010023",3,0,0,0,0,0
"200303010024",51,0,0,0,0,0
"200303010025",59,0,0,0,0,0
"200303010026",87,0,0,0,0,0
"200303010027",120,0,0,0,0,0
"200303010028",45,0,0,0,0,0
"200303010029",55,0,0,0,0,0
"200303010031",77,0,0,0,0,0
"200303010032",74,0,0,0,0,0
"200303010033",99,0,0,0,0,0
"200303010034",69,0,0,0,0,0
"200303010035",176,0,0,0,0,0
"200303010036",72,0,0,0,0,0
"200303010037",144,0,0,0,0,0
"200303010040",20,0,0,0,0,0
"200303010044",103,0,0,0,0,0
"200303010045",142,0,0,0,0,0
"200303010046",78,0,0,0,0,0
"200303010047",17,0,0,0,0,0
"200303010050",11,0,0,0,0,0
"200303010054",60,0,0,0,0,0
"200303010058",35,0,0,0,0,0
"200303010059",154,0,0,0,0,0
"200303010061",132,0,0,0,0,0
"200303010062",25,0,0,0,0,0
"200303010064",132,0,0,0,0,0
