"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003005",76,15,0,0,0,0
"200303003009",1,1,0,0,0,0
"200303003013",32,15,0,0,0,0
"200303003021",92,15,0,0,0,0
"200303003028",89,15,0,0,0,0
"200303003029",2,2,0,0,0,0
"200303003030",22,15,0,0,0,0
"200303003033",33,15,0,0,0,0
"200303003034",2,2,0,0,0,0
"200303003041",7,7,0,0,0,0
"200303003049",8,8,0,0,0,0
"200303003050",50,15,0,0,0,0
"200303003051",49,14,0,0,0,0
"200303003060",14,14,0,0,0,0
"200303003066",107,15,0,0,0,0
"200303003129",15,15,0,0,0,0
"200303006016",18,0,0,0,0,0
"200303006023",36,0,0,0,0,0
"200303006024",61,0,0,0,0,0
"200303006032",3,0,0,0,0,0
"200303006039",1,0,0,0,0,0
"200303006050",8,0,0,0,0,0
"200303006057",11,0,0,0,0,0
"200303006071",3,0,0,0,0,0
"200303006076",2,0,0,0,0,0
"200303006082",1,0,0,0,0,0
"200303006134",1,0,0,0,0,0
"200303006138",49,0,0,0,0,0
"200303006149",15,0,0,0,0,0
"200303006157",1,0,0,0,0,0
"200303006163",1,0,0,0,0,0
"200303008008",13,13,0,0,0,0
"200303008015",65,15,0,0,0,0
"200303008020",36,16,0,0,0,0
"200303008022",1,1,0,0,0,0
"200303008023",18,15,0,0,0,0
"200303008026",9,9,0,0,0,0
"200303008034",24,15,0,0,0,0
"200303008038",2,2,0,0,0,0
"200303008042",32,0,0,0,0,0
"200303008045",131,15,0,0,0,0
"200303008047",2,0,0,0,0,0
"200303008052",2,2,0,0,0,0
"200303008053",35,15,0,0,0,0
"200303008060",127,16,0,0,0,0
"200303008063",12,12,0,0,0,0
"200303008079",30,15,0,0,0,0
"200303008102",28,15,0,0,0,0
"200303008107",46,15,0,0,0,0
"200303008120",8,8,0,0,0,0
"200303010005",48,0,0,0,0,0
"200303010013",3,0,0,0,0,0
"200303010018",3,0,0,0,0,0
"200303010020",1,0,0,0,0,0
"200303010023",10,0,0,0,0,0
"200303010050",6,0,0,0,0,0
"200303010054",5,0,0,0,0,0
"200303010057",1,0,0,0,0,0
"200303010070",1,0,0,0,0,0
"200303010071",14,0,0,0,0,0
"200303010073",17,0,0,0,0,0
"200303010085",4,0,0,0,0,0
"200303010098",59,0,0,0,0,0
"200303010152",1,0,0,0,0,0
"200403008003",39,15,0,0,0,0
"200403008004",1,1,0,0,0,0
"200403008005",37,15,0,0,0,0
"200403008011",1,1,0,0,0,0
"200403008023",3,3,0,0,0,0
"200403008047",2,2,0,0,0,0
"200403008051",7,7,0,0,0,0
"200403008055",56,15,0,0,0,0
"200403008061",85,15,0,0,0,0
"200403008062",61,15,0,0,0,0
"200403008069",11,11,0,0,0,0
"200403008071",24,11,0,0,0,0
"200403008140",1,1,0,0,0,0
"200403008147",1,1,0,0,0,0
"200403008148",10,10,0,0,0,0
"200403010009",100,15,0,0,0,0
"200403010015",1,1,0,0,0,0
"200403010020",12,12,0,0,0,0
"200403010026",32,14,0,0,0,0
"200403010052",11,11,0,0,0,0
"200403010053",7,7,0,0,0,0
"200403010054",1,1,0,0,0,0
"200403010059",33,15,0,0,0,0
"200403010060",2,2,0,0,0,0
"200403010066",3,3,0,0,0,0
"200403010069",3,3,0,0,0,0
"200403010070",33,15,0,0,0,0
"200403010071",2,2,0,0,0,0
"200403010079",2,2,0,0,0,0
"200403010107",16,16,0,0,0,0
"200403010181",56,14,0,0,0,0
"200403015010",46,14,0,0,0,0
"200403015021",26,14,0,0,0,0
"200403015032",95,15,0,0,0,0
"200403015055",130,15,0,0,0,0
"200403015059",29,15,0,0,0,0
"200403015061",12,12,0,0,0,0
"200403015144",1,1,0,0,0,0
"200403015155",5,5,0,0,0,0
"200403015163",6,6,0,0,0,0
"200503008005",23,15,0,0,0,1
"200503008009",1,1,0,0,0,1
"200503008027",5,5,0,0,5,1
"200503008041",6,6,0,0,5,1
"200503008042",8,8,0,0,5,0
"200503008049",59,15,0,0,0,0
"200503008056",17,5,0,0,0,0
"200503008064",7,5,0,0,0,0
"200503008128",2,2,0,0,0,0
"200503008130",10,10,0,0,0,1
"200503008198",2,2,0,0,0,2
"200503008199",1,1,0,0,0,1
"200503008206",1,1,0,0,0,1
"200503010010",22,15,0,0,5,3
"200503010022",2,2,0,0,2,1
"200503010056",115,15,0,0,5,1
"200503010058",17,15,0,0,0,0
"200503010061",5,5,0,0,5,1
"200503010064",3,3,0,0,0,0
"200503010073",1,1,0,0,1,0
"200503010075",98,15,0,0,5,0
"200503010076",1,1,0,0,0,1
"200503010142",1,1,0,0,0,1
"200503010145",1,1,0,0,0,1
"200503010147",7,7,0,0,0,0
"200503010148",1,1,0,0,0,0
