"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003089",29,15,0,0,0,0
"200303008021",118,15,0,0,0,0
"200303008025",17,15,0,0,0,0
"200603008024",5,5,0,0,0,3
"200603010013",25,15,0,0,5,1
"200603017179",3,3,0,0,0,0
"200603018146",116,11,0,0,0,0
"200703008064",60,0,0,0,0,0
"200803008003",15,15,0,0,0,0
"200803018128",7,7,0,0,0,2
"201003010178",7,7,0,0,0,0
"201203008010",1,1,0,0,0,0
"201603008172",9,9,0,0,0,0
