"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",94,37,0,0,0,0
"2004",135,77,0,0,0,0
"2005",51,20,0,0,0,0
"2006",47,47,0,0,0,0
"2007",78,29,0,0,0,0
"2008",46,27,0,3,3,0
"2009",67,34,0,0,0,15
"2010",64,40,7,0,0,0
"2011",45,15,0,0,0,0
"2012",20,10,0,0,0,0
"2013",8,8,0,0,0,0
"2014",4,4,0,0,0,0
"2015",16,6,3,2,2,0
"2016",1,1,0,1,1,0
"2017",0,0,0,0,0,0
"2018",1,1,0,1,1,0
"2019",12,5,0,0,0,0
"2021",43,12,1,2,2,0
"2022",0,0,0,0,0,0
"2023",20,4,0,0,0,0
"2024",1,1,0,0,0,0
