"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",565,9,7,0,0,1,1,0,0,0
"2004",496,9,4,1,2,2,0,0,0,0
"2005",669,6,4,1,1,0,0,0,0,0
"2006",649,4,3,1,0,0,0,0,0,0
"2007",689,8,6,0,2,0,0,0,0,0
"2008",673,12,9,1,1,1,0,0,0,0
"2009",675,9,7,1,0,1,0,0,0,0
"2010",706,10,4,2,2,2,0,0,0,0
"2011",680,19,16,0,0,2,1,0,0,0
"2012",692,9,8,0,1,0,0,0,0,0
"2013",458,13,10,2,1,0,0,0,0,0
"2014",676,9,6,1,2,0,0,0,0,0
"2015",663,9,4,1,4,0,0,0,0,0
"2016",682,10,9,1,0,0,0,0,0,0
"2017",692,16,11,1,4,0,0,0,0,0
"2018",697,7,4,2,1,0,0,0,0,0
"2019",343,6,3,1,2,0,0,0,0,0
"2021",665,19,10,6,1,2,0,0,0,0
"2022",626,9,7,1,0,1,0,0,0,0
"2023",645,17,9,4,4,0,0,0,0,0
"2024",641,18,13,4,1,0,0,0,0,0
