"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",519,55,18,6,6,5,5,3,1,11
"2004",451,54,18,3,4,2,1,2,4,21
"2005",604,71,29,3,7,5,2,4,3,21
"2006",607,46,19,4,1,5,2,1,4,11
"2007",655,42,16,4,2,3,5,3,4,8
"2008",638,47,26,5,4,3,0,1,3,6
"2009",648,36,14,1,5,4,3,1,3,6
"2010",643,73,32,8,5,4,3,2,2,17
"2011",646,53,17,4,10,3,4,1,0,14
"2012",636,65,26,6,3,4,3,3,5,17
"2013",394,77,37,9,8,8,2,3,4,9
"2014",573,112,61,10,8,10,3,2,1,18
"2015",609,63,32,9,4,4,3,3,2,8
"2016",613,79,39,10,4,3,2,3,5,16
"2017",618,90,54,6,7,5,2,2,1,13
"2018",629,75,40,8,5,5,5,3,4,8
"2019",311,38,21,3,3,2,0,2,4,5
"2021",603,81,40,7,10,3,4,2,5,11
"2022",558,77,51,5,4,3,1,4,3,8
"2023",601,61,32,15,1,2,1,1,1,9
"2024",590,69,32,8,8,6,4,1,5,6
