"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",0,0,0,0,0,0
"2004",0,0,0,0,0,0
"2005",2,2,0,0,0,0
"2006",0,0,0,0,0,0
"2007",1,1,0,0,0,0
"2008",17,17,0,0,0,0
"2009",10,10,0,0,0,0
"2010",11,4,0,0,0,7
"2011",0,0,0,0,0,0
"2012",0,0,0,0,0,0
"2013",0,0,0,0,0,0
"2014",0,0,0,0,0,0
"2015",0,0,0,0,0,0
"2016",25,10,0,0,0,0
"2017",0,0,0,0,0,0
"2018",0,0,0,0,0,0
"2019",0,0,0,0,0,0
"2021",0,0,0,0,0,0
"2022",0,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
