"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",3,0,0,0,0,0
"2004",8,8,0,0,0,0
"2005",8,8,0,0,0,7
"2006",0,0,0,0,0,0
"2007",0,0,0,0,0,0
"2008",0,0,0,0,0,0
"2009",0,0,0,0,0,0
"2010",0,0,0,0,0,0
"2011",0,0,0,0,0,0
"2012",0,0,0,0,0,0
"2013",1,1,0,0,0,0
"2014",3,3,0,0,0,2
"2015",18,17,0,0,0,8
"2016",0,0,0,0,0,0
"2017",3,3,0,0,0,3
"2018",2,2,0,0,0,2
"2019",0,0,0,0,0,0
"2021",0,0,0,0,0,0
"2022",3,3,0,0,0,3
"2023",3,3,0,0,0,3
"2024",9,9,0,0,1,8
