"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003002",5,5,0,0,0,0
"200303003003",89,5,0,0,0,0
"200303003004",7,5,0,0,0,0
"200303003006",7,5,0,0,0,0
"200303003007",5,5,0,0,0,0
"200303003008",10,5,0,0,0,0
"200303003009",100,5,0,0,0,0
"200303003013",6,5,0,0,0,0
"200303003014",22,5,0,0,0,0
"200303003015",10,5,0,0,0,0
"200303003016",12,5,0,0,0,0
"200303003017",5,5,0,0,0,0
"200303003019",11,5,0,0,0,0
"200303003020",24,5,0,0,0,0
"200303003023",59,5,0,0,0,0
"200303003025",47,5,0,0,0,0
"200303003026",100,5,0,0,0,0
"200303003030",77,5,0,0,0,0
"200303003033",125,5,0,0,0,0
"200303003034",4,4,0,0,0,0
"200303003037",22,5,0,0,0,0
"200303003038",3,3,0,0,0,0
"200303003039",5,5,0,0,0,0
"200303003040",27,5,0,0,0,0
"200303003041",89,5,0,0,0,0
"200303003043",6,6,0,0,0,0
"200303003045",45,5,0,0,0,0
"200303003046",40,5,0,0,0,0
"200303003047",101,5,0,0,0,0
"200303003049",104,5,0,0,0,0
"200303003050",64,5,0,0,0,0
"200303003051",102,5,0,0,0,0
"200303003052",6,6,0,0,0,0
"200303003054",147,5,0,0,0,0
"200303003059",60,5,0,0,0,0
"200303003060",57,5,0,0,0,0
"200303003061",3,3,0,0,0,0
"200303003062",12,5,0,0,0,0
"200303003063",40,5,0,0,0,0
"200303003064",6,5,0,0,0,0
"200303003065",1,1,0,0,0,0
"200303003067",31,5,0,0,0,0
"200303003068",53,5,0,0,0,0
"200303003070",30,5,0,0,0,0
"200303003074",3,3,0,0,0,0
"200303003075",16,5,0,0,0,0
"200303003078",16,0,0,0,0,0
"200303003079",52,5,0,0,0,0
"200303003080",1,1,0,0,0,0
"200303003084",7,5,0,0,0,0
"200303003085",46,5,0,0,0,0
"200303003091",70,5,0,0,0,0
"200303003093",8,5,0,0,0,0
"200303003096",5,5,0,0,0,0
"200303003097",53,5,0,0,0,0
"200303003098",4,4,0,0,0,0
"200303003101",5,5,0,0,0,0
"200303003104",17,5,0,0,0,0
"200303003110",58,5,0,0,0,0
"200303003111",7,4,0,0,0,0
"200303003113",4,4,0,0,0,0
"200303003114",4,4,0,0,0,0
"200303003115",1,1,0,0,0,0
"200303003116",14,5,0,0,0,0
"200303003121",14,5,0,0,0,0
"200303003122",6,5,0,0,0,0
"200303003123",13,5,0,0,0,0
"200303003125",1,1,0,0,0,0
"200303003127",2,2,0,0,0,0
"200303003134",41,5,0,0,0,0
"200303003136",19,5,0,0,0,0
"200303003137",12,5,0,0,0,0
"200303003138",21,5,0,0,0,0
"200303003139",21,5,0,0,0,0
"200303003141",6,5,0,0,0,0
"200303003145",2,2,0,0,0,0
"200303003215",10,5,0,0,0,0
"200303006002",34,5,0,0,0,0
"200303006008",1,1,0,0,0,0
"200303006011",5,5,0,0,0,0
"200303006015",6,5,0,0,0,0
"200303006016",73,5,0,0,0,0
"200303006017",3,3,0,0,0,0
"200303006027",17,5,0,0,0,0
"200303006028",11,5,0,0,0,0
"200303006029",3,3,0,0,0,0
"200303006032",76,5,0,0,0,0
"200303006033",14,5,0,0,0,0
"200303006034",9,5,0,0,0,0
"200303006037",1,1,0,0,0,0
"200303006038",25,5,0,0,0,0
"200303006039",18,5,0,0,0,0
"200303006041",2,2,0,0,0,0
"200303006042",3,3,0,0,0,0
"200303006045",102,5,0,0,0,0
"200303006046",5,5,0,0,0,0
"200303006047",1,1,0,0,0,0
"200303006048",9,5,0,0,0,0
"200303006049",26,5,0,0,0,0
"200303006050",124,5,0,0,0,0
"200303006051",97,5,0,0,0,0
"200303006052",113,5,0,0,0,0
"200303006054",57,5,0,0,0,0
"200303006055",4,4,0,0,0,0
"200303006059",1,1,0,0,0,0
"200303006060",13,5,0,0,0,0
"200303006061",3,3,0,0,0,0
"200303006062",37,5,0,0,0,0
"200303006063",17,5,0,0,0,0
"200303006064",17,5,0,0,0,0
"200303006069",2,2,0,0,0,0
"200303006071",91,5,0,0,0,0
"200303006072",19,5,0,0,0,0
"200303006073",8,5,0,0,0,0
"200303006074",7,5,0,0,0,0
"200303006076",132,5,0,0,0,0
"200303006077",2,2,0,0,0,0
"200303006078",3,3,0,0,0,0
"200303006079",18,5,0,0,0,0
"200303006081",12,5,0,0,0,0
"200303006083",61,5,0,0,0,0
"200303006086",5,5,0,0,0,0
"200303006088",13,5,0,0,0,0
"200303006090",111,5,0,0,0,0
"200303006091",4,4,0,0,0,0
"200303006092",4,4,0,0,0,0
"200303006096",37,5,0,0,0,0
"200303006097",9,5,0,0,0,0
"200303006098",4,4,0,0,0,0
"200303006099",5,5,0,0,0,0
"200303006100",2,2,0,0,0,0
"200303006104",2,2,0,0,0,0
"200303006105",26,5,0,0,0,0
"200303006106",1,1,0,0,0,0
"200303006109",1,1,0,0,0,0
"200303006118",5,5,0,0,0,0
"200303006120",42,5,0,0,0,0
"200303006121",2,2,0,0,0,0
"200303006122",65,5,0,0,0,0
"200303006125",28,5,0,0,0,0
"200303006129",59,5,0,0,0,0
"200303006130",12,5,0,0,0,0
"200303006133",7,5,0,0,0,0
"200303006135",22,5,0,0,0,0
"200303006145",102,5,0,0,0,0
"200303006149",26,5,0,0,0,0
"200303006151",30,5,0,0,0,0
"200303006153",5,5,0,0,0,0
"200303006158",8,5,0,0,0,0
"200303006160",8,5,0,0,0,0
"200303008002",4,4,0,0,0,0
"200303008003",4,4,0,0,0,0
"200303008005",7,5,0,0,0,0
"200303008007",9,5,0,0,0,0
"200303008008",3,3,0,0,0,0
"200303008009",3,3,0,0,0,0
"200303008010",2,2,0,0,0,0
"200303008012",2,2,0,0,0,0
"200303008014",39,5,0,0,0,0
"200303008015",104,5,0,0,0,0
"200303008023",174,5,0,0,0,0
"200303008027",39,5,0,0,0,0
"200303008037",1,1,0,0,0,0
"200303008038",65,5,0,0,0,0
"200303008039",4,4,0,0,0,0
"200303008040",4,4,0,0,0,0
"200303008043",10,5,0,0,0,0
"200303008044",6,5,0,0,0,0
"200303008045",16,0,0,0,0,0
"200303008049",1,1,0,0,0,0
"200303008050",8,5,0,0,0,0
"200303008051",122,5,0,0,0,0
"200303008052",156,5,0,0,0,0
"200303008053",68,5,0,0,0,0
"200303008055",5,4,0,0,0,0
"200303008056",2,2,0,0,0,0
"200303008058",4,4,0,0,0,0
"200303008060",71,5,0,0,0,0
"200303008066",58,0,0,0,0,0
"200303008068",4,4,0,0,0,0
"200303008069",12,5,0,0,0,0
"200303008070",12,5,0,0,0,0
"200303008071",36,5,0,0,0,0
"200303008072",26,5,0,0,0,0
"200303008073",11,5,0,0,0,0
"200303008077",3,3,0,0,0,0
"200303008080",2,2,0,0,0,0
"200303008081",3,3,0,0,0,0
"200303008082",27,5,0,0,0,0
"200303008083",72,5,0,0,0,0
"200303008085",6,5,0,0,0,0
"200303008087",43,5,0,0,0,0
"200303008088",3,3,0,0,0,0
"200303008089",8,5,0,0,0,0
"200303008090",3,3,0,0,0,0
"200303008093",50,5,0,0,0,0
"200303008094",14,5,0,0,0,0
"200303008097",24,5,0,0,0,0
"200303008099",92,5,0,0,0,0
"200303008100",1,1,0,0,0,0
"200303008101",5,5,0,0,0,0
"200303008103",7,5,0,0,0,0
"200303008105",2,2,0,0,0,0
"200303008106",7,5,0,0,0,0
"200303008107",46,5,0,0,0,0
"200303008108",1,1,0,0,0,0
"200303008109",9,5,0,0,0,0
"200303008110",6,5,0,0,0,0
"200303008112",9,5,0,0,0,0
"200303008114",20,5,0,0,0,0
"200303008115",29,5,0,0,0,0
"200303008119",30,5,0,0,0,0
"200303008126",18,5,0,0,0,0
"200303008130",27,5,0,0,0,0
"200303008131",1,1,0,0,0,0
"200303008132",7,5,0,0,0,0
"200303008135",7,5,0,0,0,0
"200303008139",22,5,0,0,0,0
"200303008140",10,5,0,0,0,0
"200303008141",16,5,0,0,0,0
"200303008142",38,5,0,0,0,0
"200303008146",16,5,0,0,0,0
"200303008156",5,5,0,0,0,0
"200303008159",8,5,0,0,0,0
"200303008160",30,5,0,0,0,0
"200303008169",2,2,0,0,0,0
"200303008171",71,5,0,0,0,0
"200303008172",6,5,0,0,0,0
"200303008173",1,1,0,0,0,0
"200303008174",10,5,0,0,0,0
"200303010001",48,5,0,0,0,0
"200303010002",66,5,0,0,0,0
"200303010003",49,5,0,0,0,0
"200303010005",1,1,0,0,0,0
"200303010007",1,1,0,0,0,0
"200303010009",1,1,0,0,0,0
"200303010010",11,5,0,0,0,0
"200303010012",7,5,0,0,0,0
"200303010023",59,5,0,0,0,0
"200303010026",36,5,0,0,0,0
"200303010040",37,5,0,0,0,0
"200303010041",3,3,0,0,0,0
"200303010042",1,1,0,0,0,0
"200303010043",2,2,0,0,0,0
"200303010047",125,5,0,0,0,0
"200303010049",5,5,0,0,0,0
"200303010050",97,5,0,0,0,0
"200303010051",1,1,0,0,0,0
"200303010052",1,1,0,0,0,0
"200303010053",4,4,0,0,0,0
"200303010054",68,5,0,0,0,0
"200303010055",21,5,0,0,0,0
"200303010061",2,2,0,0,0,0
"200303010062",14,5,0,0,0,0
"200303010063",5,5,0,0,0,0
"200303010066",4,4,0,0,0,0
"200303010067",26,6,0,0,0,0
"200303010068",3,3,0,0,0,0
"200303010070",16,5,0,0,0,0
"200303010071",141,5,0,0,0,0
"200303010072",2,2,0,0,0,0
"200303010074",4,4,0,0,0,0
"200303010075",32,5,0,0,0,0
"200303010079",49,5,0,0,0,0
"200303010080",3,3,0,0,0,0
"200303010081",66,5,0,0,0,0
"200303010083",36,5,0,0,0,0
"200303010090",6,0,0,0,0,0
"200303010091",8,5,0,0,0,0
"200303010092",28,5,0,0,0,0
"200303010093",10,5,0,0,0,0
"200303010094",26,5,0,0,0,0
"200303010097",1,1,0,0,0,0
"200303010099",17,5,0,0,0,0
"200303010100",18,5,0,0,0,0
"200303010102",4,4,0,0,0,0
"200303010103",27,5,0,0,0,0
"200303010105",10,5,0,0,0,0
"200303010106",19,5,0,0,0,0
"200303010107",25,5,0,0,0,0
"200303010112",5,5,0,0,0,0
"200303010117",4,4,0,0,0,0
"200303010123",11,5,0,0,0,0
"200303010124",13,5,0,0,0,0
"200303010126",14,5,0,0,0,0
"200303010127",5,5,0,0,0,0
"200303010129",38,5,0,0,0,0
"200303010131",19,5,0,0,0,0
"200303010132",18,5,0,0,0,0
"200303010133",32,5,0,0,0,0
"200303010135",29,5,0,0,0,0
"200303010139",18,5,0,0,0,0
"200303010147",4,4,0,0,0,0
"200303010148",7,5,0,0,0,0
"200303010151",49,5,0,0,0,0
"200303010156",1,1,0,0,0,0
"200303010157",5,5,0,0,0,0
"200303010158",8,5,0,0,0,0
"200303010160",18,5,0,0,0,0
"200403008002",73,11,0,0,0,0
"200403008003",14,14,0,0,0,0
"200403008004",45,10,0,0,0,0
"200403008005",10,10,0,0,0,0
"200403008006",10,10,0,0,0,0
"200403008007",1,1,0,0,0,0
"200403008009",2,2,0,0,0,0
"200403008012",6,6,0,0,0,0
"200403008014",5,5,0,0,0,0
"200403008015",4,4,0,0,0,0
"200403008018",4,4,0,0,0,0
"200403008019",5,5,0,0,0,0
"200403008020",81,10,0,0,0,0
"200403008024",1,1,0,0,0,0
"200403008044",39,10,0,0,0,0
"200403008045",21,10,0,0,0,0
"200403008047",117,6,0,0,0,0
"200403008048",74,11,0,0,0,0
"200403008050",101,10,0,0,0,0
"200403008051",82,10,0,0,0,0
"200403008052",41,10,0,0,0,0
"200403008053",214,10,0,0,0,0
"200403008054",11,11,0,0,0,0
"200403008063",2,2,0,0,0,0
"200403008064",1,1,0,0,0,0
"200403008065",1,1,0,0,0,0
"200403008071",90,10,0,0,0,0
"200403008072",15,9,0,0,0,0
"200403008073",3,3,0,0,0,0
"200403008075",28,10,0,0,0,0
"200403008076",36,10,0,0,0,0
"200403008077",19,10,0,0,0,0
"200403008078",7,7,0,0,0,0
"200403008079",1,1,0,0,0,0
"200403008080",8,8,0,0,0,0
"200403008081",3,3,0,0,0,0
"200403008085",85,10,0,0,0,0
"200403008087",57,10,0,0,0,0
"200403008088",2,2,0,0,0,0
"200403008090",2,2,0,0,0,0
"200403008092",12,10,0,0,0,0
"200403008093",2,2,0,0,0,0
"200403008094",4,4,0,0,0,0
"200403008099",15,10,0,0,0,0
"200403008100",3,3,0,0,0,0
