"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",565,9,7,1,1,0,0,0,0,0
"2004",475,30,23,2,3,1,1,0,0,0
"2005",642,33,23,7,2,1,0,0,0,0
"2006",627,26,16,5,2,3,0,0,0,0
"2007",658,39,30,4,4,1,0,0,0,0
"2008",655,30,20,3,5,1,0,1,1,0
"2009",649,35,25,6,2,1,1,0,0,0
"2010",684,32,23,4,5,0,0,0,0,0
"2011",664,35,20,6,6,3,0,0,0,0
"2012",655,46,34,6,3,2,0,1,0,0
"2013",434,37,27,3,4,2,1,0,0,0
"2014",635,50,30,8,8,3,0,1,0,0
"2015",633,39,21,7,5,4,2,0,0,0
"2016",654,38,29,3,6,0,0,0,0,0
"2017",664,44,31,1,5,4,3,0,0,0
"2018",667,37,24,5,4,3,1,0,0,0
"2019",329,20,16,1,2,0,1,0,0,0
"2021",640,44,30,4,4,5,1,0,0,0
"2022",607,28,19,5,3,1,0,0,0,0
"2023",638,24,18,1,2,3,0,0,0,0
"2024",622,37,20,7,7,3,0,0,0,0
