"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",67,2,0,0,1,0,0,0,0,1
"2004",61,1,0,1,0,0,0,0,0,0
"2005",73,1,0,0,0,0,0,0,0,1
"2006",50,3,0,0,0,0,1,1,0,1
"2007",71,2,0,0,0,0,0,1,2,0
"2008",56,9,4,0,1,2,1,0,0,1
"2009",46,6,2,2,0,0,0,0,0,2
"2010",51,6,3,1,0,1,0,0,1,0
"2011",34,4,1,2,1,0,0,0,0,0
"2012",50,7,4,0,1,0,0,0,1,1
"2013",23,3,1,1,1,0,0,0,0,0
"2014",29,3,1,1,0,1,0,0,0,0
"2015",29,4,0,0,1,0,0,1,0,2
"2016",29,2,0,1,0,0,0,0,0,1
"2017",28,2,1,0,0,0,0,0,0,1
"2018",27,1,0,0,0,0,0,0,0,1
"2019",18,2,0,0,1,1,0,0,0,0
"2021",30,1,1,0,0,0,0,0,0,0
"2022",21,4,3,1,0,0,0,0,0,0
"2023",21,3,2,0,0,0,1,0,0,0
"2024",18,5,2,0,0,0,1,1,1,1
