"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",137,0,0,0,0,0
"2004",0,0,0,0,0,0
"2005",113,0,0,0,0,0
"2006",99,0,0,0,0,0
"2007",131,0,0,0,0,0
"2008",42,0,0,0,0,0
"2009",41,0,0,0,0,0
"2010",9,0,0,0,0,0
"2011",21,0,0,0,0,0
"2012",26,0,0,0,0,0
"2013",17,0,0,0,0,0
"2014",0,0,0,0,0,0
"2015",11,0,0,0,0,0
"2016",1,0,0,0,0,0
"2017",0,0,0,0,0,0
"2018",0,0,0,0,0,0
"2019",0,0,0,0,0,0
"2021",0,0,0,0,0,0
"2022",0,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
