"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003086",1,0,0,0,0,0
"200303003089",15,0,0,0,0,0
"200303008025",113,0,0,0,0,0
"200303010056",8,0,0,0,0,0
"200503008180",12,0,0,0,0,0
"200503010033",6,0,0,0,0,0
"200503017028",86,0,0,0,0,0
"200503017131",6,0,0,0,0,0
"200503017136",1,0,0,0,0,0
"200503017140",2,0,0,0,0,0
"200603008024",32,0,0,0,0,0
"200603008135",6,0,0,0,0,0
"200603010005",3,0,0,0,0,0
"200603010013",7,0,0,0,0,0
"200603018074",9,0,0,0,0,0
"200603018132",16,0,0,0,0,0
"200603018146",26,0,0,0,0,0
"200703008064",5,0,0,0,0,0
"200703010015",13,0,0,0,0,0
"200703010016",1,0,0,0,0,0
"200703010043",3,0,0,0,0,0
"200703010045",5,0,0,0,0,0
"200703010093",44,0,0,0,0,0
"200703010094",17,0,0,0,0,0
"200703017047",3,0,0,0,0,0
"200703018027",7,0,0,0,0,0
"200703018101",3,0,0,0,0,0
"200703018113",3,0,0,0,0,0
"200703018174",21,0,0,0,0,0
"200703018175",6,0,0,0,0,0
"200803008095",7,0,0,0,0,0
"200803008167",1,0,0,0,0,0
"200803010015",5,0,0,0,0,0
"200803010084",18,0,0,0,0,0
"200803017048",1,0,0,0,0,0
"200803017151",4,0,0,0,0,0
"200803017157",5,0,0,0,0,0
"200803018013",1,0,0,0,0,0
"200903008130",5,0,0,0,0,0
"200903010119",5,0,0,0,0,0
"200903010149",11,0,0,0,0,0
"200903010159",6,0,0,0,0,0
"200903017124",4,0,0,0,0,0
"200903018155",10,0,0,0,0,0
"201003010178",5,0,0,0,0,0
"201003017088",1,0,0,0,0,0
"201003018105",3,0,0,0,0,0
"201103010123",21,0,0,0,0,0
"201203008010",26,0,0,0,0,0
"201303020148",17,0,0,0,0,0
"201503020192",11,0,0,0,0,0
"201603008172",1,0,0,0,0,0
