"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003013",9,0,0,0,0,0
"200303003034",1,0,0,0,0,0
"200303003069",2,0,0,0,0,0
"200303003070",3,0,0,0,0,0
"200303003072",51,0,0,0,0,0
"200303003077",13,0,0,0,0,0
"200303003078",20,0,0,0,0,0
"200303003082",52,0,0,0,0,0
"200303003090",50,0,0,0,0,0
"200303003097",73,0,0,0,0,0
"200303003101",1,0,0,0,0,0
"200303003102",63,0,0,0,0,0
"200303003103",69,0,0,0,0,0
"200303003104",114,0,0,0,0,0
"200303003107",7,0,0,0,0,0
"200303003109",19,0,0,0,0,0
"200303003115",19,0,0,0,0,0
"200303003118",146,0,0,0,0,0
"200303003119",4,0,0,0,0,0
"200303003121",1,0,0,0,0,0
"200303003128",75,0,0,0,0,0
"200303003132",3,0,0,0,0,0
"200303003135",2,0,0,0,0,0
"200303003141",6,0,0,0,0,0
"200303003145",4,0,0,0,0,0
"200303006032",1,0,0,0,0,0
"200303006039",68,0,0,0,0,0
"200303006059",34,0,0,0,0,0
"200303006062",3,0,0,0,0,0
"200303006066",1,0,0,0,0,0
"200303006068",3,0,0,0,0,0
"200303006075",90,0,0,0,0,0
"200303006080",5,0,0,0,0,0
"200303006082",161,0,0,0,0,0
"200303006090",1,0,0,0,0,0
"200303006094",3,0,0,0,0,0
"200303006095",101,0,0,0,0,0
"200303006101",1,0,0,0,0,0
"200303006104",63,0,0,0,0,0
"200303006107",6,0,0,0,0,0
"200303006108",169,0,0,0,0,0
"200303006110",51,0,0,0,0,0
"200303006114",116,0,0,0,0,0
"200303006117",2,0,0,0,0,0
"200303006119",133,0,0,0,0,0
"200303006121",108,0,0,0,0,0
"200303006124",111,0,0,0,0,0
"200303006126",95,0,0,0,0,0
"200303006127",2,0,0,0,0,0
"200303006128",16,0,0,0,0,0
"200303006134",152,0,0,0,0,0
"200303006138",169,0,0,0,0,0
"200303006142",163,0,0,0,0,0
"200303006148",16,0,0,0,0,0
"200303006149",32,0,0,0,0,0
"200303006152",3,0,0,0,0,0
"200303006163",20,0,0,0,0,0
"200303006164",188,0,0,0,0,0
"200303008008",1,0,0,0,0,0
"200303008027",1,0,0,0,0,0
"200303008045",1,0,0,0,0,0
"200303008076",47,0,0,0,0,0
"200303008079",1,0,0,0,0,0
"200303008080",15,0,0,0,0,0
"200303008086",27,0,0,0,0,0
"200303008102",82,0,0,0,0,0
"200303008105",122,0,0,0,0,0
"200303008111",61,0,0,0,0,0
"200303008113",10,0,0,0,0,0
"200303008116",2,0,0,0,0,0
"200303008117",56,0,0,0,0,0
"200303008118",27,0,0,0,0,0
"200303008120",48,0,0,0,0,0
"200303008125",122,0,0,0,0,0
"200303008127",10,0,0,0,0,0
"200303008136",50,0,0,0,0,0
"200303008138",26,0,0,0,0,0
"200303008144",3,0,0,0,0,0
"200303008145",83,0,0,0,0,0
"200303008147",34,0,0,0,0,0
"200303008148",50,0,0,0,0,0
"200303008161",5,0,0,0,0,0
"200303008162",1,0,0,0,0,0
"200303008165",28,0,0,0,0,0
"200303008171",2,0,0,0,0,0
"200303008176",75,0,0,0,0,0
"200303010005",7,0,0,0,0,0
"200303010013",3,0,0,0,0,0
"200303010046",101,0,0,0,0,0
"200303010064",2,0,0,0,0,0
"200303010069",3,0,0,0,0,0
"200303010078",68,0,0,0,0,0
"200303010085",181,0,0,0,0,0
"200303010088",113,0,0,0,0,0
"200303010097",33,0,0,0,0,0
"200303010098",93,0,0,0,0,0
"200303010109",66,0,0,0,0,0
"200303010110",142,0,0,0,0,0
"200303010113",165,0,0,0,0,0
"200303010116",16,0,0,0,0,0
"200303010118",51,0,0,0,0,0
"200303010120",15,0,0,0,0,0
"200303010121",235,0,0,0,0,0
"200303010122",3,0,0,0,0,0
"200303010130",3,0,0,0,0,0
"200303010134",80,0,0,0,0,0
"200303010136",199,0,0,0,0,0
"200303010138",1,0,0,0,0,0
"200303010141",42,0,0,0,0,0
"200303010142",109,0,0,0,0,0
"200303010143",193,0,0,0,0,0
"200303010144",33,0,0,0,0,0
"200303010145",47,0,0,0,0,0
"200303010146",49,0,0,0,0,0
"200303010147",1,0,0,0,0,0
"200303010152",13,0,0,0,0,0
"200303010157",1,0,0,0,0,0
"200403008004",39,5,0,0,0,0
"200403008011",4,4,0,0,0,0
"200403008069",3,3,0,0,0,0
"200403008071",106,5,0,0,0,0
"200403008074",9,5,0,0,0,0
"200403008079",2,2,0,0,0,0
"200403008082",163,5,0,0,0,0
"200403008084",1,1,0,0,0,0
