"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",542,0,0,0,0,0,0,0,0,0
"2004",470,0,0,0,0,0,0,0,0,0
"2005",640,1,1,0,0,0,0,0,0,0
"2006",639,0,0,0,0,0,0,0,0,0
"2007",687,0,0,0,0,0,0,0,0,0
"2008",680,0,0,0,0,0,0,0,0,0
"2009",681,0,0,0,0,0,0,0,0,0
"2010",713,0,0,0,0,0,0,0,0,0
"2011",695,0,0,0,0,0,0,0,0,0
"2012",695,0,0,0,0,0,0,0,0,0
"2013",468,0,0,0,0,0,0,0,0,0
"2014",678,0,0,0,0,0,0,0,0,0
"2015",666,0,0,0,0,0,0,0,0,0
"2016",692,0,0,0,0,0,0,0,0,0
"2017",705,0,0,0,0,0,0,0,0,0
"2018",701,0,0,0,0,0,0,0,0,0
"2019",348,0,0,0,0,0,0,0,0,0
"2021",684,0,0,0,0,0,0,0,0,0
"2022",633,1,0,1,0,0,0,0,0,0
"2023",661,0,0,0,0,0,0,0,0,0
"2024",658,0,0,0,0,0,0,0,0,0
