"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003005",5,5,0,0,0,0
"200303003021",2,2,0,0,0,0
"200303003050",121,14,0,0,0,0
"200303003051",9,9,0,0,0,0
"200303008060",4,4,0,0,0,0
"200503017094",13,13,0,0,0,2
"200503018042",10,10,0,0,0,6
"201003010055",1,1,0,0,0,1
"201103008013",29,29,0,0,0,5
"201103008051",6,6,0,0,0,6
"201103008055",1,1,0,0,0,0
"201103008056",17,17,0,0,0,0
"201103017014",1,1,0,0,0,0
"201203017063",1,1,0,0,0,0
"201203017065",1,1,0,0,0,1
"201203017248",1,1,0,0,0,0
"201303008020",2,2,0,0,0,2
"201303017050",1,1,0,0,0,1
"201303017060",6,6,0,0,0,6
"201303017124",1,1,0,0,0,1
"201403010046",1,1,0,0,0,1
"201503010047",3,3,0,0,0,3
"201503017042",10,10,0,0,0,3
"201603008053",53,25,0,0,0,7
"201603008055",1,1,0,0,0,1
"201603008062",15,15,0,0,0,5
"201603017018",2,2,0,0,0,2
"201603017049",13,13,0,0,0,0
"201603017062",1,1,0,0,0,0
"201703008038",1,1,0,0,0,0
"201703010004",13,13,0,0,0,13
"201703010051",12,12,0,0,0,5
"201703010066",1,1,0,0,0,1
"201703017002",2,2,0,0,0,2
"201803008057",67,25,0,0,0,5
"201803017050",10,10,0,0,0,0
"201803020008",71,18,0,0,0,3
"201803020027",1,1,0,0,0,0
"202203008009",4,4,0,0,0,4
"202203008013",4,4,0,0,0,4
"202203008017",2,2,0,0,0,2
"202303008056",64,25,0,0,0,0
"202403010005",9,9,0,0,0,0
"202403017054",9,9,0,0,0,4
"202403020060",24,24,0,0,0,0
